perturbation,n_cells,eligible_ge30,split
TOX3,395,1,validation
TOX4,280,1,validation
TP53,171,1,test
TP53BP1,182,1,train
TP53BP2,300,1,train
TP63,506,1,train
TP73,90,1,test
TPRX1,282,1,test
TRERF1,345,1,test
TRIM22,351,1,train
TRIM24,248,1,validation
TRIM27,412,1,train
TRIM28,449,1,train
TRIM33,538,1,validation
TRPS1,307,1,train
TSC22D1,503,1,test
TSC22D2,374,1,train
TSC22D3,319,1,train
TSC22D4,255,1,train
TSHZ1,250,1,train
TSHZ2,549,1,test
TSHZ3,692,1,test
TTF1,274,1,test
TUB,280,1,test
TULP1,237,1,validation
TULP2,645,1,test
TULP3,594,1,train
TULP4,313,1,train
TWIST1,431,1,validation
TWIST2,269,1,validation
TXK,270,1,test
UBP1,624,1,train
UBTF,333,1,validation
UHRF1,867,1,train
UNCX,340,1,validation
USF1,345,1,test
USF2,327,1,train
USF3,208,1,train
VAV1,329,1,train
VAX1,301,1,test
VAX2,448,1,train
VDR,254,1,train
VENTX,363,1,train
VEZF1,589,1,validation
VPS72,657,1,train
VSX1,287,1,test
VSX2,303,1,train
WDHD1,366,1,train
WIZ,654,1,train
WNK1,292,1,train
WT1,303,1,train
XBP1,618,1,train
XRCC4,403,1,train
XRCC5,351,1,train
XRCC6,442,1,train
YAF2,483,1,validation
YAP1,757,1,train
YBX1,508,1,validation
YBX2,577,1,test
YBX3,456,1,test
YEATS4,283,1,validation
YWHAE,420,1,train
YWHAZ,582,1,validation
YY1,1140,1,train
YY2,247,1,train
ZBED1,532,1,train
ZBED2,280,1,test
ZBED3,328,1,train
ZBED4,591,1,train
ZBED6,226,1,train
ZBTB1,615,1,train
ZBTB10,581,1,validation
ZBTB11,264,1,train
ZBTB12,221,1,test
ZBTB14,522,1,test
ZBTB16,517,1,validation
ZBTB17,507,1,train
ZBTB18,222,1,train
ZBTB2,668,1,train
ZBTB20,392,1,test
ZBTB21,521,1,train
ZBTB22,284,1,train
ZBTB24,408,1,train
ZBTB25,301,1,test
ZBTB26,346,1,validation
ZBTB3,326,1,test
ZBTB32,196,1,validation
ZBTB33,768,1,train
ZBTB34,415,1,train
ZBTB37,579,1,train
ZBTB38,527,1,train
ZBTB39,677,1,train
ZBTB4,438,1,validation
ZBTB40,430,1,validation
ZBTB41,212,1,test
ZBTB42,919,1,train
ZBTB43,348,1,train
ZBTB44,610,1,train
ZBTB45,392,1,train
ZBTB46,1871,1,train
ZBTB47,211,1,train
ZBTB48,425,1,train
ZBTB49,513,1,train
ZBTB5,421,1,train
ZBTB6,294,1,train
ZBTB7A,357,1,train
ZBTB7B,296,1,train
ZBTB7C,314,1,train
ZBTB8A,339,1,train
ZBTB8B,988,1,train
ZBTB9,293,1,train
ZEB1,452,1,train
ZEB2,345,1,train
ZFAT,460,1,validation
ZFHX2,450,1,train
ZFHX3,398,1,train
ZFP1,505,1,validation
ZFP14,929,1,validation
ZFP2,524,1,test
ZFP28,580,1,train
ZFP3,436,1,train
ZFP30,507,1,train
ZFP36L1,245,1,train
ZFP36L2,607,1,validation
ZFP37,290,1,test
ZFP41,323,1,validation
ZFP42,251,1,validation
ZFP57,483,1,train
ZFP62,583,1,train
ZFP64,570,1,train
ZFP69,664,1,test
ZFP69B,247,1,train
ZFP82,963,1,train
ZFP90,594,1,train
ZFP91,511,1,train
ZFP92,371,1,test
ZFPM1,927,1,train
ZFPM2,300,1,train
ZFX,457,1,train
ZFY,208,1,train
ZGLP1,453,1,train
ZHX1,897,1,test
ZHX2,551,1,test
ZHX3,910,1,validation
ZIC1,1200,1,train
ZIC2,298,1,validation
ZIC3,788,1,validation
ZIC4,531,1,train
ZIC5,609,1,test
ZIK1,266,1,train
ZIM2,319,1,train
ZIM3,242,1,train
ZKSCAN1,546,1,train
ZKSCAN2,881,1,validation
ZKSCAN3,348,1,validation
ZKSCAN4,235,1,test
ZKSCAN5,402,1,test
ZKSCAN7,755,1,train
ZKSCAN8,417,1,train
ZMIZ1,696,1,validation
ZMIZ2,612,1,train
ZMYND11,650,1,train
ZNF10,766,1,test
ZNF100,308,1,validation
ZNF101,333,1,test
ZNF107,170,1,train
ZNF112,322,1,train
ZNF114,431,1,train
ZNF117,250,1,train
ZNF12,310,1,train
ZNF121,489,1,train
ZNF124,351,1,train
ZNF131,347,1,train
ZNF132,378,1,train
ZNF133,333,1,train
ZNF134,426,1,validation
ZNF135,570,1,train
ZNF136,408,1,test
ZNF138,485,1,train
ZNF14,323,1,train
ZNF140,496,1,test
ZNF141,294,1,train
ZNF142,380,1,test
ZNF143,211,1,train
ZNF146,497,1,test
ZNF148,408,1,validation
ZNF154,479,1,test
ZNF155,226,1,train
ZNF157,322,1,train
ZNF16,356,1,train
ZNF160,221,1,test
ZNF165,463,1,train
ZNF169,384,1,test
ZNF17,299,1,train
ZNF174,306,1,train
ZNF175,513,1,train
ZNF177,315,1,train
ZNF18,502,1,validation
ZNF180,599,1,train
ZNF181,385,1,train
ZNF182,386,1,train
ZNF184,260,1,test
ZNF189,434,1,test
ZNF19,182,1,test
ZNF195,266,1,train
ZNF197,368,1,train
ZNF2,341,1,validation
ZNF20,269,1,train
ZNF200,619,1,validation
ZNF202,285,1,train
ZNF205,412,1,test
ZNF208,245,1,train
ZNF211,671,1,validation
ZNF212,366,1,validation
ZNF213,465,1,train
ZNF214,383,1,train
ZNF215,386,1,test
ZNF217,398,1,train
ZNF219,219,1,train
ZNF22,487,1,train
ZNF221,246,1,train
ZNF222,475,1,train
ZNF223,340,1,train
ZNF224,504,1,train
ZNF225,230,1,train
ZNF226,421,1,train
ZNF227,346,1,train
ZNF229,519,1,test
ZNF23,408,1,test
ZNF230,463,1,test
ZNF232,734,1,train
ZNF233,311,1,train
ZNF234,263,1,validation
ZNF235,498,1,train
ZNF236,649,1,train
ZNF239,428,1,train
ZNF24,309,1,test
ZNF248,387,1,validation
ZNF25,381,1,train
ZNF250,565,1,train
ZNF251,457,1,train
ZNF253,359,1,train
ZNF254,328,1,test
ZNF256,194,1,train
ZNF257,378,1,train
ZNF26,490,1,train
ZNF260,314,1,train
ZNF263,243,1,train
ZNF264,325,1,validation
ZNF266,196,1,train
ZNF267,275,1,validation
ZNF268,566,1,test
ZNF273,227,1,validation
ZNF274,263,1,train
ZNF275,364,1,validation
ZNF276,491,1,validation
ZNF277,465,1,train
ZNF28,432,1,validation
ZNF280A,479,1,train
ZNF280B,726,1,train
ZNF280C,410,1,train
ZNF280D,521,1,test
ZNF281,351,1,test
ZNF282,632,1,train
ZNF283,306,1,validation
ZNF284,300,1,validation
ZNF285,381,1,train
ZNF286A,510,1,test
ZNF286B,255,1,test
ZNF287,257,1,train
ZNF292,619,1,validation
ZNF296,526,1,test
ZNF3,530,1,train
ZNF30,390,1,validation
ZNF300,446,1,train
ZNF302,315,1,validation
ZNF304,243,1,test
ZNF311,244,1,train
ZNF317,312,1,validation
ZNF319,503,1,train
ZNF32,613,1,validation
ZNF320,600,1,test
ZNF322,487,1,test
ZNF324,345,1,train
ZNF324B,653,1,train
ZNF329,373,1,train
ZNF331,513,1,validation
ZNF333,320,1,train
ZNF334,546,1,test
ZNF335,320,1,validation
ZNF337,370,1,train
ZNF33A,468,1,train
ZNF33B,560,1,test
ZNF34,324,1,train
ZNF341,513,1,validation
ZNF343,280,1,train
ZNF345,328,1,train
ZNF347,324,1,test
ZNF35,340,1,train
ZNF350,349,1,train
ZNF354A,422,1,validation
ZNF354B,506,1,train
ZNF354C,468,1,validation
ZNF358,523,1,test
ZNF362,429,1,train
ZNF366,268,1,train
ZNF367,554,1,train
ZNF37A,429,1,test
ZNF382,521,1,train
ZNF383,285,1,train
ZNF384,325,1,train
ZNF391,331,1,train
ZNF394,480,1,test
ZNF396,392,1,train
ZNF397,274,1,train
ZNF398,373,1,train
ZNF404,197,1,train
ZNF407,377,1,train
ZNF408,244,1,train
ZNF41,367,1,train
ZNF410,448,1,validation
ZNF414,586,1,train
ZNF415,395,1,train
ZNF416,281,1,train
ZNF417,499,1,test
ZNF418,276,1,train
ZNF419,283,1,train
ZNF420,571,1,train
ZNF423,222,1,train
ZNF425,516,1,train
ZNF426,447,1,test
ZNF429,241,1,train
ZNF43,185,1,test
ZNF430,339,1,validation
ZNF431,251,1,train
ZNF432,761,1,train
ZNF433,308,1,train
ZNF436,303,1,train
ZNF438,524,1,validation
ZNF439,238,1,train
ZNF44,399,1,train
ZNF440,415,1,train
ZNF441,438,1,test
ZNF442,361,1,train
ZNF443,199,1,train
ZNF444,405,1,test
ZNF445,289,1,train
ZNF446,554,1,train
ZNF449,326,1,test
ZNF45,452,1,train
ZNF451,653,1,test
ZNF454,515,1,train
ZNF460,364,1,train
ZNF461,232,1,train
ZNF462,343,1,validation
ZNF467,823,1,validation
ZNF468,325,1,validation
ZNF470,353,1,train
ZNF471,311,1,train
ZNF473,236,1,test
ZNF479,240,1,validation
ZNF48,425,1,train
ZNF480,280,1,train
ZNF483,337,1,train
ZNF484,484,1,train
ZNF485,527,1,train
ZNF486,259,1,train
ZNF488,300,1,train
ZNF490,425,1,test
ZNF491,287,1,train
ZNF492,402,1,validation
ZNF493,256,1,validation
ZNF496,935,1,train
ZNF497,431,1,train
ZNF500,457,1,train
ZNF501,730,1,train
ZNF502,397,1,train
ZNF506,293,1,train
ZNF507,602,1,train
ZNF510,360,1,validation
ZNF511,552,1,train
ZNF512,336,1,train
ZNF512B,511,1,validation
ZNF513,589,1,train
ZNF514,606,1,test
ZNF516,438,1,train
ZNF517,644,1,test
ZNF518A,247,1,train
ZNF518B,822,1,validation
ZNF519,487,1,validation
ZNF521,381,1,test
ZNF524,1003,1,train
ZNF525,110,1,train
ZNF526,321,1,train
ZNF527,421,1,train
ZNF528,308,1,train
ZNF529,530,1,validation
ZNF530,278,1,validation
ZNF532,404,1,train
ZNF534,292,1,train
ZNF536,223,1,test
ZNF540,427,1,validation
ZNF541,378,1,test
ZNF543,273,1,train
ZNF544,639,1,train
ZNF546,650,1,train
ZNF547,278,1,train
ZNF548,432,1,train
ZNF549,337,1,train
ZNF550,381,1,train
ZNF551,445,1,train
ZNF552,234,1,train
ZNF554,359,1,train
ZNF555,421,1,test
ZNF556,194,1,train
ZNF557,710,1,train
ZNF558,284,1,train
ZNF559,137,1,train
ZNF559-ZNF177,455,1,train
ZNF560,297,1,train
ZNF561,335,1,train
ZNF562,210,1,train
ZNF563,452,1,train
ZNF564,212,1,validation
ZNF565,279,1,train
ZNF566,393,1,train
ZNF567,381,1,train
ZNF568,450,1,train
ZNF569,312,1,train
ZNF57,225,1,train
ZNF570,325,1,train
ZNF571,324,1,train
ZNF572,368,1,train
ZNF573,426,1,validation
ZNF574,409,1,validation
ZNF575,1034,1,train
ZNF576,471,1,train
ZNF577,615,1,train
ZNF578,252,1,train
ZNF579,350,1,validation
ZNF580,366,1,validation
ZNF581,700,1,test
ZNF582,360,1,train
ZNF583,585,1,train
ZNF584,656,1,test
ZNF585A,625,1,train
ZNF585B,443,1,test
ZNF586,586,1,train
ZNF587,235,1,train
ZNF587B,283,1,train
ZNF589,262,1,train
ZNF592,508,1,validation
ZNF593,473,1,train
ZNF594,862,1,train
ZNF595,356,1,train
ZNF596,703,1,test
ZNF597,490,1,validation
ZNF599,415,1,test
ZNF600,402,1,train
ZNF605,544,1,train
ZNF606,899,1,validation
ZNF607,323,1,train
ZNF610,272,1,test
ZNF611,341,1,train
ZNF613,256,1,validation
ZNF614,356,1,train
ZNF615,640,1,validation
ZNF616,496,1,train
ZNF618,615,1,train
ZNF619,405,1,test
ZNF620,436,1,train
ZNF621,499,1,train
ZNF623,526,1,test
ZNF624,235,1,train
ZNF625,399,1,train
ZNF626,316,1,test
ZNF627,482,1,train
ZNF628,655,1,validation
ZNF629,349,1,test
ZNF630,194,1,train
ZNF639,342,1,train
ZNF641,353,1,train
ZNF644,237,1,test
ZNF646,385,1,train
ZNF648,236,1,train
ZNF649,262,1,validation
ZNF652,727,1,train
ZNF653,688,1,train
ZNF654,618,1,test
ZNF655,488,1,validation
ZNF658,398,1,train
ZNF660,403,1,train
ZNF662,449,1,test
ZNF664,311,1,validation
ZNF665,197,1,train
ZNF667,237,1,test
ZNF668,453,1,train
ZNF669,394,1,train
ZNF670,434,1,test
ZNF671,197,1,test
ZNF672,381,1,validation
ZNF674,492,1,train
ZNF675,439,1,train
ZNF676,210,1,train
ZNF677,407,1,train
ZNF678,390,1,train
ZNF679,162,1,train
ZNF680,273,1,train
ZNF681,224,1,train
ZNF682,364,1,train
ZNF683,506,1,train
ZNF684,216,1,train
ZNF687,407,1,validation
ZNF688,290,1,train
ZNF689,291,1,test
ZNF69,335,1,train
ZNF691,179,1,test
ZNF692,645,1,train
ZNF695,336,1,train
ZNF696,922,1,train
ZNF697,722,1,train
ZNF699,221,1,train
ZNF7,760,1,test
ZNF70,660,1,validation
ZNF700,324,1,train
ZNF701,445,1,train
ZNF705A,385,1,train
ZNF705B,317,1,validation
ZNF705D,214,1,validation
ZNF705G,173,1,train
ZNF707,578,1,train
ZNF708,536,1,train
ZNF709,521,1,train
ZNF71,231,1,train
ZNF710,451,1,train
ZNF711,531,1,train
ZNF713,214,1,validation
ZNF714,403,1,validation
ZNF716,332,1,validation
ZNF717,337,1,train
ZNF718,458,1,test
ZNF721,367,1,train
ZNF726,291,1,validation
ZNF727,361,1,train
ZNF728,527,1,validation
ZNF729,228,1,train
ZNF730,388,1,test
ZNF732,388,1,train
ZNF735,536,1,train
ZNF736,393,1,train
ZNF737,264,1,validation
ZNF74,279,1,validation
ZNF740,588,1,train
ZNF746,701,1,train
ZNF747,232,1,test
ZNF749,403,1,train
ZNF75A,300,1,train
ZNF75D,150,1,validation
ZNF76,320,1,validation
ZNF761,510,1,train
ZNF763,345,1,validation
ZNF764,783,1,train
ZNF765,382,1,train
ZNF766,328,1,train
ZNF768,773,1,train
ZNF77,420,1,train
ZNF770,442,1,test
ZNF771,259,1,validation
ZNF772,535,1,train
ZNF773,665,1,train
ZNF774,258,1,validation
ZNF775,425,1,test
ZNF776,254,1,validation
ZNF777,283,1,test
ZNF778,526,1,train
ZNF780A,430,1,test
ZNF780B,407,1,test
ZNF781,449,1,train
ZNF782,635,1,train
ZNF783,487,1,train
ZNF784,361,1,train
ZNF785,260,1,train
ZNF786,373,1,test
ZNF787,452,1,validation
ZNF789,1093,1,train
ZNF79,380,1,train
ZNF790,474,1,train
ZNF791,446,1,train
ZNF792,454,1,train
ZNF793,424,1,train
ZNF799,405,1,train
ZNF8,340,1,test
ZNF80,238,1,validation
ZNF800,469,1,train
ZNF805,225,1,validation
ZNF808,541,1,train
ZNF81,433,1,train
ZNF813,332,1,train
ZNF814,276,1,train
ZNF816,367,1,train
ZNF821,719,1,test
ZNF823,484,1,validation
ZNF827,283,1,test
ZNF829,608,1,train
ZNF83,182,1,train
ZNF831,228,1,test
ZNF835,505,1,train
ZNF836,398,1,test
ZNF837,194,1,train
ZNF84,435,1,train
ZNF841,202,1,test
ZNF844,248,1,train
ZNF845,189,1,train
ZNF846,343,1,validation
ZNF85,254,1,test
ZNF850,341,1,validation
ZNF852,299,1,validation
ZNF853,702,1,train
ZNF860,488,1,train
ZNF865,619,1,train
ZNF875,268,1,train
ZNF878,346,1,train
ZNF879,408,1,test
ZNF880,467,1,test
ZNF883,249,1,test
ZNF891,463,1,train
ZNF90,441,1,train
ZNF91,141,1,train
ZNF92,427,1,train
ZNF93,339,1,test
ZNF98,207,1,train
ZNF99,311,1,train
ZSCAN1,534,1,train
ZSCAN10,256,1,train
ZSCAN12,322,1,train
ZSCAN16,637,1,train
ZSCAN18,542,1,train
ZSCAN2,632,1,test
ZSCAN20,432,1,train
ZSCAN21,407,1,validation
ZSCAN22,311,1,validation
ZSCAN23,353,1,test
ZSCAN25,240,1,train
ZSCAN26,574,1,test
ZSCAN29,136,1,train
ZSCAN30,443,1,train
ZSCAN31,300,1,train
ZSCAN32,503,1,train
ZSCAN4,413,1,train
ZSCAN5A,374,1,train
ZSCAN5B,418,1,test
ZSCAN9,222,1,train
ZXDA,347,1,train
ZXDB,749,1,validation
ZXDC,843,1,test
ZZZ3,376,1,train
control,42233,0,excluded
