raw_condition,canonical_condition,perturbation_genes,n_perturbation_genes,guide_class,n_cells_obs_metadata,all_genes_in_scgpt_vocabulary,all_genes_in_expression_var_metadata,model_compatible,eligible_pair_min75,selection_sha256,exclusion_reason,split,selection_rank
RING1_SMARCD1,RING1+SMARCD1,RING1;SMARCD1,2,Dual,155,True,True,True,True,40a6330f79d02773212e7068c5b40e475f6b0a769d74e16880234e9476af90f4,,test,35.0
RING1_SSRP1,RING1+SSRP1,RING1;SSRP1,2,Dual,32,True,True,True,False,,pair_below_75_cells,excluded,
RING1_VPRBP,RING1+VPRBP,RING1;VPRBP,2,Dual,160,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
RING1,RING1+ctrl,RING1,1,Single,83,True,True,True,False,,,train,
SMARCA5_SMARCD1,SMARCA5+SMARCD1,SMARCA5;SMARCD1,2,Dual,195,True,True,True,True,e4df894c084d7b009374890b3b8eadd4f01fdd2f2de6857abf30edaca7d902fb,,train,105.0
SMARCA5,SMARCA5+ctrl,SMARCA5,1,Single,78,True,True,True,False,,,train,
SMARCD1_SSRP1,SMARCD1+SSRP1,SMARCD1;SSRP1,2,Dual,98,True,True,True,True,ccee887f0444658ada9939137f3c1a6a791bc9932e83e69376d38b90c09d67f6,,train,96.0
SMARCD1_VPRBP,SMARCD1+VPRBP,SMARCD1;VPRBP,2,Dual,161,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
SMARCD1,SMARCD1+ctrl,SMARCD1,1,Single,76,True,True,True,False,,,train,
SSRP1_SUPT16H,SSRP1+SUPT16H,SSRP1;SUPT16H,2,Dual,140,True,True,True,True,dde5f8acdc4a437f3c15dcf9561efc656d62506ecff311f2348315b7dd65cea3,,train,101.0
SSRP1_SUPT5H,SSRP1+SUPT5H,SSRP1;SUPT5H,2,Dual,119,True,True,True,True,f6921a249dfd9303921f6285ea7223e949b02c2d3de2a215b3a76c238d1cfb32,,train,112.0
SSRP1_SUPT6H,SSRP1+SUPT6H,SSRP1;SUPT6H,2,Dual,89,True,True,True,True,45e78803cd873754ac56af8192f58e6fab32de33452e6c8d43f817a4c2e7b133,,test,39.0
SSRP1_VPRBP,SSRP1+VPRBP,SSRP1;VPRBP,2,Dual,106,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
SSRP1,SSRP1+ctrl,SSRP1,1,Single,32,True,True,True,False,,,train,
SUPT16H_SUPT5H,SUPT16H+SUPT5H,SUPT16H;SUPT5H,2,Dual,276,True,True,True,True,eb183acaed6bc2a0fba7cecaa68f6860c19b6414e9d29aa1e6857632fd41232b,,train,109.0
SUPT16H_SUPT6H,SUPT16H+SUPT6H,SUPT16H;SUPT6H,2,Dual,185,True,True,True,True,e6a3caf24e4305268467ee37d9403a46c57e21ed19d15c31353cbc14a7a1317c,,train,107.0
SUPT16H,SUPT16H+ctrl,SUPT16H,1,Single,138,True,True,True,False,,,train,
SUPT5H_SUPT6H,SUPT5H+SUPT6H,SUPT5H;SUPT6H,2,Dual,238,True,True,True,True,7493649ab8b9c09f511ebdae7e5251ed9ef3121e821ef480bf188dcce26b84c4,,val,60.0
SUPT5H,SUPT5H+ctrl,SUPT5H,1,Single,87,True,True,True,False,,,train,
SUPT6H,SUPT6H+ctrl,SUPT6H,1,Single,33,True,True,True,False,,,train,
VPRBP,VPRBP+ctrl,VPRBP,1,Single,30,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
control,ctrl,,0,NT,424,True,True,True,False,,,train,
