target,condition,source_context,n_source_perturbed_cells,n_source_batches,n_source_control_cells
K562,SFSWAP+ctrl,jurkat,56,36,12013
K562,SLBP+ctrl,jurkat,79,40,12013
K562,SLC39A9+ctrl,jurkat,24,19,12013
K562,SLC7A6OS+ctrl,jurkat,53,36,12013
K562,SLU7+ctrl,jurkat,44,34,12013
K562,SMC1A+ctrl,jurkat,44,31,12013
K562,SMG5+ctrl,jurkat,207,52,12013
K562,SNAPC1+ctrl,jurkat,72,42,12013
K562,SNIP1+ctrl,jurkat,33,25,12013
K562,SNRNP200+ctrl,jurkat,20,19,12013
K562,SNRPB+ctrl,jurkat,22,16,12013
K562,SNRPC+ctrl,jurkat,22,18,12013
K562,SNRPD1+ctrl,jurkat,17,16,12013
K562,SNRPD3+ctrl,jurkat,19,14,12013
K562,SNRPF+ctrl,jurkat,24,17,12013
K562,SPCS3+ctrl,jurkat,108,45,12013
K562,SRRM1+ctrl,jurkat,63,37,12013
K562,SRRM2+ctrl,jurkat,52,28,12013
K562,SRSF1+ctrl,jurkat,33,25,12013
K562,SRSF10+ctrl,jurkat,61,33,12013
K562,SSBP1+ctrl,jurkat,38,29,12013
K562,SSU72+ctrl,jurkat,223,54,12013
K562,STRAP+ctrl,jurkat,89,41,12013
K562,SUGP1+ctrl,jurkat,66,40,12013
K562,SUPT16H+ctrl,jurkat,48,33,12013
K562,SUPT5H+ctrl,jurkat,48,33,12013
K562,SUPV3L1+ctrl,jurkat,71,43,12013
K562,SURF6+ctrl,jurkat,128,52,12013
K562,TADA3+ctrl,jurkat,92,47,12013
K562,TAF10+ctrl,jurkat,117,49,12013
K562,TAF1C+ctrl,jurkat,87,39,12013
K562,TAF6+ctrl,jurkat,92,47,12013
K562,TAF7+ctrl,jurkat,95,47,12013
K562,TBCB+ctrl,jurkat,42,29,12013
K562,TBL3+ctrl,jurkat,47,27,12013
K562,TCERG1+ctrl,jurkat,61,34,12013
K562,TCOF1+ctrl,jurkat,31,22,12013
K562,TELO2+ctrl,jurkat,96,49,12013
K562,TERF2+ctrl,jurkat,90,42,12013
K562,THAP11+ctrl,jurkat,165,50,12013
K562,THOC6+ctrl,jurkat,97,48,12013
K562,THOC7+ctrl,jurkat,83,39,12013
K562,TIMM13+ctrl,jurkat,42,31,12013
K562,TIMM23B+ctrl,jurkat,244,54,12013
K562,TIMM44+ctrl,jurkat,94,41,12013
K562,TMX2+ctrl,jurkat,199,52,12013
K562,TOMM22+ctrl,jurkat,92,41,12013
K562,TOP1+ctrl,jurkat,100,46,12013
K562,TPR+ctrl,jurkat,25,19,12013
K562,TRA2B+ctrl,jurkat,89,44,12013
K562,TRMT10C+ctrl,jurkat,74,42,12013
K562,TRMT112+ctrl,jurkat,214,54,12013
K562,TRMT5+ctrl,jurkat,81,40,12013
K562,TSEN2+ctrl,jurkat,115,50,12013
K562,TSG101+ctrl,jurkat,30,23,12013
K562,TSR1+ctrl,jurkat,304,55,12013
K562,TTI1+ctrl,jurkat,119,53,12013
K562,TXNL4A+ctrl,jurkat,23,19,12013
K562,U2AF1+ctrl,jurkat,30,23,12013
K562,U2SURP+ctrl,jurkat,17,15,12013
K562,UBA3+ctrl,jurkat,33,23,12013
K562,UBA52+ctrl,jurkat,205,55,12013
K562,UBAP1+ctrl,jurkat,35,29,12013
K562,UBL5+ctrl,jurkat,21,18,12013
K562,UBQLN4+ctrl,jurkat,69,43,12013
K562,UFM1+ctrl,jurkat,58,37,12013
K562,UPF2+ctrl,jurkat,51,34,12013
K562,UQCRB+ctrl,jurkat,77,38,12013
K562,UQCRFS1+ctrl,jurkat,65,39,12013
K562,UQCRQ+ctrl,jurkat,105,50,12013
K562,USP36+ctrl,jurkat,42,28,12013
K562,USPL1+ctrl,jurkat,32,28,12013
K562,UTP20+ctrl,jurkat,97,49,12013
K562,UTP23+ctrl,jurkat,172,53,12013
K562,UXT+ctrl,jurkat,51,33,12013
K562,WAC+ctrl,jurkat,47,31,12013
K562,WDHD1+ctrl,jurkat,58,39,12013
K562,WDR12+ctrl,jurkat,101,43,12013
K562,WDR33+ctrl,jurkat,35,27,12013
K562,WDR61+ctrl,jurkat,58,37,12013
K562,WDR82+ctrl,jurkat,34,23,12013
K562,XRCC5+ctrl,jurkat,69,42,12013
K562,XRN2+ctrl,jurkat,43,30,12013
K562,YEATS2+ctrl,jurkat,103,42,12013
K562,ZBTB17+ctrl,jurkat,392,55,12013
K562,ZC3H18+ctrl,jurkat,46,32,12013
K562,ZCRB1+ctrl,jurkat,107,44,12013
K562,ZFC3H1+ctrl,jurkat,86,39,12013
K562,ZMAT2+ctrl,jurkat,60,38,12013
K562,ZMAT5+ctrl,jurkat,36,26,12013
K562,ZNF236+ctrl,jurkat,469,55,12013
K562,ZNHIT6+ctrl,jurkat,84,42,12013
RPE1,AARS+ctrl,K562,38,29,10691
RPE1,ABCE1+ctrl,K562,177,47,10691
RPE1,ABCF1+ctrl,K562,159,43,10691
RPE1,ABT1+ctrl,K562,92,39,10691
RPE1,ACTB+ctrl,K562,140,45,10691
RPE1,ACTR6+ctrl,K562,104,44,10691
RPE1,AHCTF1+ctrl,K562,161,46,10691
RPE1,AKIRIN2+ctrl,K562,144,45,10691
RPE1,ALDOA+ctrl,K562,77,34,10691
RPE1,ALG13+ctrl,K562,167,48,10691
RPE1,ANAPC2+ctrl,K562,237,48,10691
RPE1,ARGLU1+ctrl,K562,367,48,10691
RPE1,ARL2+ctrl,K562,70,38,10691
RPE1,ATP6V0B+ctrl,K562,134,43,10691
RPE1,ATP6V1A+ctrl,K562,89,41,10691
RPE1,ATR+ctrl,K562,133,44,10691
RPE1,ATRIP+ctrl,K562,183,48,10691
RPE1,BCAS2+ctrl,K562,197,44,10691
RPE1,BDP1+ctrl,K562,277,48,10691
RPE1,BGLAP+ctrl,K562,236,48,10691
RPE1,BNIP1+ctrl,K562,107,46,10691
RPE1,BRIX1+ctrl,K562,95,40,10691
RPE1,CCDC59+ctrl,K562,100,43,10691
RPE1,CCDC84+ctrl,K562,77,38,10691
RPE1,CCNH+ctrl,K562,75,35,10691
RPE1,CCNK+ctrl,K562,211,47,10691
RPE1,CCT4+ctrl,K562,217,47,10691
RPE1,CCT7+ctrl,K562,141,41,10691
RPE1,CD3EAP+ctrl,K562,85,38,10691
RPE1,CDC123+ctrl,K562,96,40,10691
RPE1,CDC5L+ctrl,K562,77,40,10691
RPE1,CDC6+ctrl,K562,153,45,10691
RPE1,CDC73+ctrl,K562,140,47,10691
RPE1,CENPE+ctrl,K562,171,48,10691
RPE1,CENPK+ctrl,K562,93,43,10691
RPE1,CEP192+ctrl,K562,184,48,10691
RPE1,CHCHD4+ctrl,K562,132,43,10691
RPE1,CHD4+ctrl,K562,33,22,10691
RPE1,CHEK1+ctrl,K562,205,47,10691
RPE1,CINP+ctrl,K562,73,38,10691
RPE1,CKAP5+ctrl,K562,159,45,10691
RPE1,CLNS1A+ctrl,K562,46,35,10691
RPE1,CLP1+ctrl,K562,51,32,10691
RPE1,CMTR1+ctrl,K562,138,44,10691
RPE1,CNOT2+ctrl,K562,64,35,10691
RPE1,CNOT3+ctrl,K562,303,48,10691
RPE1,COPB1+ctrl,K562,56,32,10691
RPE1,COPS2+ctrl,K562,44,32,10691
RPE1,COPS4+ctrl,K562,253,47,10691
RPE1,COX11+ctrl,K562,103,43,10691
RPE1,CPSF1+ctrl,K562,48,31,10691
RPE1,CPSF3+ctrl,K562,575,48,10691
RPE1,CPSF4+ctrl,K562,57,32,10691
RPE1,CPSF6+ctrl,K562,43,27,10691
RPE1,CSE1L+ctrl,K562,373,47,10691
RPE1,CSNK2B+ctrl,K562,103,42,10691
RPE1,CSTF3+ctrl,K562,59,34,10691
RPE1,CTR9+ctrl,K562,197,47,10691
RPE1,CUL2+ctrl,K562,84,43,10691
RPE1,CUL7+ctrl,K562,33,26,10691
RPE1,CWC15+ctrl,K562,144,46,10691
RPE1,CWF19L2+ctrl,K562,187,48,10691
RPE1,CXXC1+ctrl,K562,115,43,10691
RPE1,DAD1+ctrl,K562,71,37,10691
RPE1,DARS+ctrl,K562,60,36,10691
RPE1,DDB1+ctrl,K562,85,37,10691
RPE1,DDX10+ctrl,K562,97,41,10691
RPE1,DDX23+ctrl,K562,126,45,10691
RPE1,DDX41+ctrl,K562,259,48,10691
RPE1,DDX46+ctrl,K562,132,45,10691
RPE1,DDX47+ctrl,K562,313,48,10691
RPE1,DDX5+ctrl,K562,130,45,10691
RPE1,DDX52+ctrl,K562,106,42,10691
RPE1,DDX55+ctrl,K562,150,42,10691
RPE1,DDX59+ctrl,K562,152,46,10691
RPE1,DENR+ctrl,K562,228,47,10691
RPE1,DHX16+ctrl,K562,305,48,10691
RPE1,DHX33+ctrl,K562,127,45,10691
RPE1,DHX36+ctrl,K562,248,48,10691
RPE1,DHX37+ctrl,K562,202,48,10691
RPE1,DKC1+ctrl,K562,51,30,10691
RPE1,DLD+ctrl,K562,283,48,10691
RPE1,DMAP1+ctrl,K562,71,35,10691
RPE1,DNAJC17+ctrl,K562,30,24,10691
RPE1,DNAJC8+ctrl,K562,260,48,10691
RPE1,DNMT1+ctrl,K562,146,45,10691
RPE1,DR1+ctrl,K562,103,43,10691
RPE1,DSN1+ctrl,K562,234,47,10691
RPE1,DTL+ctrl,K562,87,42,10691
RPE1,DUT+ctrl,K562,46,29,10691
RPE1,DYNC1H1+ctrl,K562,217,48,10691
RPE1,DYNC1I2+ctrl,K562,239,48,10691
RPE1,EBNA1BP2+ctrl,K562,68,32,10691
RPE1,ECD+ctrl,K562,69,37,10691
RPE1,EEF2+ctrl,K562,196,46,10691
RPE1,EIF1AX+ctrl,K562,95,44,10691
RPE1,EIF2B1+ctrl,K562,162,46,10691
RPE1,EIF2B5+ctrl,K562,412,48,10691
RPE1,EIF2S1+ctrl,K562,208,47,10691
RPE1,EIF2S2+ctrl,K562,76,37,10691
RPE1,EIF2S3+ctrl,K562,46,30,10691
RPE1,EIF3B+ctrl,K562,23,17,10691
RPE1,EIF3CL+ctrl,K562,44,33,10691
RPE1,EIF3D+ctrl,K562,144,47,10691
RPE1,EIF3E+ctrl,K562,171,43,10691
RPE1,EIF3I+ctrl,K562,44,26,10691
RPE1,EIF3J+ctrl,K562,72,39,10691
RPE1,EIF3M+ctrl,K562,209,48,10691
RPE1,EIF4E+ctrl,K562,324,48,10691
RPE1,EIF4G2+ctrl,K562,205,48,10691
RPE1,EIF6+ctrl,K562,107,43,10691
RPE1,ERCC2+ctrl,K562,116,41,10691
RPE1,ETF1+ctrl,K562,40,27,10691
RPE1,EXOC7+ctrl,K562,32,22,10691
RPE1,EXOSC2+ctrl,K562,209,48,10691
RPE1,EXOSC3+ctrl,K562,44,30,10691
RPE1,EXOSC7+ctrl,K562,84,44,10691
RPE1,FAM136A+ctrl,K562,40,26,10691
RPE1,FAM32A+ctrl,K562,332,48,10691
RPE1,FARSA+ctrl,K562,128,46,10691
RPE1,FTSJ3+ctrl,K562,153,45,10691
RPE1,GARS+ctrl,K562,148,48,10691
RPE1,GBF1+ctrl,K562,155,46,10691
RPE1,GFER+ctrl,K562,198,46,10691
RPE1,GFM1+ctrl,K562,230,47,10691
RPE1,GINS2+ctrl,K562,130,44,10691
RPE1,GLE1+ctrl,K562,54,33,10691
RPE1,GNL3+ctrl,K562,29,23,10691
RPE1,GPN2+ctrl,K562,42,26,10691
RPE1,GPN3+ctrl,K562,250,48,10691
RPE1,GRB2+ctrl,K562,53,28,10691
RPE1,GRSF1+ctrl,K562,146,43,10691
RPE1,GTF2E1+ctrl,K562,176,47,10691
RPE1,GTF2F2+ctrl,K562,52,32,10691
RPE1,HAUS5+ctrl,K562,153,45,10691
RPE1,HBS1L+ctrl,K562,120,46,10691
RPE1,HDAC7+ctrl,K562,148,47,10691
RPE1,HGS+ctrl,K562,96,42,10691
RPE1,HMGCS1+ctrl,K562,216,47,10691
RPE1,HNRNPH1+ctrl,K562,92,40,10691
RPE1,HSCB+ctrl,K562,85,39,10691
RPE1,HSPA5+ctrl,K562,202,48,10691
RPE1,HSPA9+ctrl,K562,374,48,10691
RPE1,HSPE1+ctrl,K562,25,20,10691
RPE1,IARS+ctrl,K562,45,29,10691
RPE1,ICE1+ctrl,K562,319,48,10691
RPE1,IGBP1+ctrl,K562,245,47,10691
RPE1,IK+ctrl,K562,123,45,10691
RPE1,ILF2+ctrl,K562,53,33,10691
RPE1,INO80B+ctrl,K562,115,41,10691
RPE1,INTS3+ctrl,K562,103,39,10691
RPE1,INTS4+ctrl,K562,47,32,10691
RPE1,INTS9+ctrl,K562,222,48,10691
RPE1,IPO9+ctrl,K562,173,46,10691
RPE1,ISCU+ctrl,K562,32,23,10691
RPE1,KANSL1+ctrl,K562,41,27,10691
RPE1,KARS+ctrl,K562,45,32,10691
RPE1,KAT8+ctrl,K562,254,47,10691
RPE1,KPNB1+ctrl,K562,214,48,10691
RPE1,KRI1+ctrl,K562,51,32,10691
RPE1,LAS1L+ctrl,K562,75,39,10691
RPE1,LETM1+ctrl,K562,110,39,10691
RPE1,LSG1+ctrl,K562,106,44,10691
RPE1,LSM3+ctrl,K562,64,34,10691
RPE1,LSM4+ctrl,K562,68,37,10691
RPE1,LSM5+ctrl,K562,139,46,10691
RPE1,LSM6+ctrl,K562,423,48,10691
RPE1,LSM7+ctrl,K562,126,43,10691
RPE1,MAD2L1+ctrl,K562,103,40,10691
RPE1,MARS+ctrl,K562,81,39,10691
RPE1,MAX+ctrl,K562,161,45,10691
RPE1,MCM2+ctrl,K562,114,42,10691
RPE1,MCM3+ctrl,K562,104,41,10691
RPE1,MCM3AP+ctrl,K562,100,43,10691
RPE1,MCM4+ctrl,K562,69,34,10691
RPE1,MCM6+ctrl,K562,84,40,10691
RPE1,MED11+ctrl,K562,227,48,10691
RPE1,MED19+ctrl,K562,526,48,10691
RPE1,MED22+ctrl,K562,279,47,10691
RPE1,MED29+ctrl,K562,86,40,10691
RPE1,MED4+ctrl,K562,56,31,10691
RPE1,MIOS+ctrl,K562,160,45,10691
RPE1,MNAT1+ctrl,K562,79,37,10691
RPE1,MPHOSPH10+ctrl,K562,38,26,10691
RPE1,MRGBP+ctrl,K562,68,38,10691
RPE1,MRPL36+ctrl,K562,160,44,10691
RPE1,MRPL38+ctrl,K562,132,47,10691
RPE1,MRPS14+ctrl,K562,82,37,10691
RPE1,MTBP+ctrl,K562,183,47,10691
RPE1,MYBBP1A+ctrl,K562,106,41,10691
RPE1,MYBL2+ctrl,K562,81,39,10691
RPE1,NAA10+ctrl,K562,113,41,10691
RPE1,NAA20+ctrl,K562,158,45,10691
RPE1,NACA+ctrl,K562,315,47,10691
RPE1,NCAPH+ctrl,K562,64,38,10691
RPE1,NCBP1+ctrl,K562,53,32,10691
RPE1,NCBP2+ctrl,K562,765,48,10691
RPE1,NDC80+ctrl,K562,171,47,10691
RPE1,NDUFA2+ctrl,K562,111,46,10691
RPE1,NELFA+ctrl,K562,82,39,10691
RPE1,NELFCD+ctrl,K562,174,47,10691
RPE1,NFRKB+ctrl,K562,223,48,10691
RPE1,NFS1+ctrl,K562,75,36,10691
RPE1,NOC3L+ctrl,K562,73,36,10691
RPE1,NOL11+ctrl,K562,219,46,10691
RPE1,NOL12+ctrl,K562,83,36,10691
RPE1,NOL8+ctrl,K562,70,38,10691
RPE1,NRBP1+ctrl,K562,62,36,10691
RPE1,NRDE2+ctrl,K562,495,48,10691
RPE1,NRF1+ctrl,K562,71,35,10691
RPE1,NSRP1+ctrl,K562,188,45,10691
RPE1,NUBP1+ctrl,K562,144,45,10691
RPE1,NUF2+ctrl,K562,404,48,10691
RPE1,NUP133+ctrl,K562,70,37,10691
RPE1,NUP160+ctrl,K562,234,48,10691
RPE1,NUP54+ctrl,K562,266,48,10691
RPE1,NUP85+ctrl,K562,107,43,10691
RPE1,NUTF2+ctrl,K562,44,33,10691
RPE1,OGFOD1+ctrl,K562,101,42,10691
RPE1,OPA1+ctrl,K562,53,33,10691
RPE1,ORC1+ctrl,K562,477,48,10691
RPE1,PABPN1+ctrl,K562,93,41,10691
RPE1,PAF1+ctrl,K562,229,47,10691
RPE1,PAM16+ctrl,K562,43,30,10691
RPE1,PAXBP1+ctrl,K562,114,43,10691
RPE1,PCID2+ctrl,K562,208,48,10691
RPE1,PDAP1+ctrl,K562,38,25,10691
RPE1,PDCD2+ctrl,K562,59,37,10691
RPE1,PDCD7+ctrl,K562,80,35,10691
RPE1,PDRG1+ctrl,K562,111,43,10691
RPE1,PELP1+ctrl,K562,60,34,10691
RPE1,PET117+ctrl,K562,80,39,10691
RPE1,PFDN2+ctrl,K562,77,33,10691
RPE1,PGAM1+ctrl,K562,145,43,10691
RPE1,PHAX+ctrl,K562,304,48,10691
RPE1,PHB2+ctrl,K562,292,48,10691
RPE1,PMPCB+ctrl,K562,471,48,10691
RPE1,PNN+ctrl,K562,64,38,10691
RPE1,POLA1+ctrl,K562,195,47,10691
RPE1,POLA2+ctrl,K562,212,46,10691
RPE1,POLD2+ctrl,K562,63,33,10691
RPE1,POLD3+ctrl,K562,65,38,10691
RPE1,POLR1C+ctrl,K562,161,47,10691
RPE1,POLR2F+ctrl,K562,209,47,10691
RPE1,POLR2I+ctrl,K562,179,47,10691
RPE1,POLR3D+ctrl,K562,108,41,10691
RPE1,POLR3E+ctrl,K562,192,46,10691
RPE1,POLR3F+ctrl,K562,156,47,10691
RPE1,POLRMT+ctrl,K562,208,47,10691
RPE1,POP4+ctrl,K562,116,42,10691
RPE1,POP5+ctrl,K562,50,33,10691
RPE1,POP7+ctrl,K562,196,48,10691
RPE1,PPARGC1B+ctrl,K562,129,45,10691
RPE1,PPIE+ctrl,K562,39,25,10691
RPE1,PPIH+ctrl,K562,93,40,10691
RPE1,PPIL4+ctrl,K562,69,37,10691
RPE1,PPP1R11+ctrl,K562,69,37,10691
RPE1,PPP1R8+ctrl,K562,64,35,10691
RPE1,PPP2R1A+ctrl,K562,301,48,10691
RPE1,PPP4R2+ctrl,K562,162,46,10691
RPE1,PRIM2+ctrl,K562,149,46,10691
RPE1,PRMT1+ctrl,K562,44,28,10691
RPE1,PRMT5+ctrl,K562,92,41,10691
RPE1,PRPF18+ctrl,K562,256,48,10691
RPE1,PRRC2A+ctrl,K562,82,39,10691
RPE1,PSMA2+ctrl,K562,38,26,10691
RPE1,PSMA3+ctrl,K562,194,47,10691
RPE1,PSMA6+ctrl,K562,18,16,10691
RPE1,PSMB2+ctrl,K562,46,35,10691
RPE1,PSMB3+ctrl,K562,19,15,10691
RPE1,PSMB6+ctrl,K562,77,39,10691
RPE1,PSMC1+ctrl,K562,177,46,10691
RPE1,PSMC2+ctrl,K562,279,48,10691
RPE1,PSMC4+ctrl,K562,149,46,10691
RPE1,PSMD1+ctrl,K562,87,41,10691
RPE1,PSMD11+ctrl,K562,40,28,10691
RPE1,PSMD12+ctrl,K562,116,44,10691
RPE1,PSMD4+ctrl,K562,285,48,10691
RPE1,PSMD6+ctrl,K562,282,48,10691
RPE1,PTCD1+ctrl,K562,246,48,10691
RPE1,QARS+ctrl,K562,376,48,10691
RPE1,RABGGTA+ctrl,K562,114,46,10691
RPE1,RAD21+ctrl,K562,62,36,10691
RPE1,RAN+ctrl,K562,79,39,10691
RPE1,RARS2+ctrl,K562,139,46,10691
RPE1,RBBP4+ctrl,K562,65,38,10691
RPE1,RBM17+ctrl,K562,50,26,10691
RPE1,RBM25+ctrl,K562,53,30,10691
RPE1,RBM39+ctrl,K562,49,33,10691
RPE1,RBM42+ctrl,K562,68,37,10691
RPE1,RBM48+ctrl,K562,55,31,10691
RPE1,RBMX+ctrl,K562,110,45,10691
RPE1,RCL1+ctrl,K562,104,40,10691
RPE1,RFC2+ctrl,K562,85,43,10691
RPE1,RFC4+ctrl,K562,58,32,10691
RPE1,RFC5+ctrl,K562,101,42,10691
RPE1,RINT1+ctrl,K562,143,45,10691
RPE1,RNASEH2C+ctrl,K562,89,43,10691
RPE1,RNF113A+ctrl,K562,170,46,10691
RPE1,RNF20+ctrl,K562,118,44,10691
RPE1,RNMT+ctrl,K562,106,40,10691
RPE1,RNPS1+ctrl,K562,51,33,10691
RPE1,RPA1+ctrl,K562,337,47,10691
RPE1,RPAP1+ctrl,K562,88,39,10691
RPE1,RPL10+ctrl,K562,215,48,10691
RPE1,RPL11+ctrl,K562,315,48,10691
RPE1,RPL12+ctrl,K562,185,47,10691
RPE1,RPL14+ctrl,K562,189,47,10691
RPE1,RPL17+ctrl,K562,134,43,10691
RPE1,RPL18+ctrl,K562,229,47,10691
RPE1,RPL21+ctrl,K562,214,48,10691
RPE1,RPL23A+ctrl,K562,84,39,10691
RPE1,RPL26+ctrl,K562,194,46,10691
RPE1,RPL32+ctrl,K562,158,47,10691
RPE1,RPL34+ctrl,K562,249,46,10691
RPE1,RPL35+ctrl,K562,36,23,10691
RPE1,RPL35A+ctrl,K562,97,42,10691
RPE1,RPL37A+ctrl,K562,295,48,10691
RPE1,RPL38+ctrl,K562,169,47,10691
RPE1,RPL39+ctrl,K562,31,24,10691
RPE1,RPL4+ctrl,K562,257,48,10691
RPE1,RPL5+ctrl,K562,154,44,10691
RPE1,RPL7+ctrl,K562,237,46,10691
RPE1,RPL9+ctrl,K562,180,47,10691
RPE1,RPLP0+ctrl,K562,136,44,10691
RPE1,RPP30+ctrl,K562,97,40,10691
RPE1,RPS10+ctrl,K562,93,39,10691
RPE1,RPS15+ctrl,K562,18,13,10691
RPE1,RPS15A+ctrl,K562,257,48,10691
RPE1,RPS19BP1+ctrl,K562,50,28,10691
RPE1,RPS2+ctrl,K562,50,31,10691
RPE1,RPS20+ctrl,K562,179,48,10691
RPE1,RPS24+ctrl,K562,213,48,10691
RPE1,RPS27+ctrl,K562,161,45,10691
RPE1,RPS27A+ctrl,K562,88,38,10691
RPE1,RPS29+ctrl,K562,211,48,10691
RPE1,RPS3+ctrl,K562,252,48,10691
RPE1,RPS3A+ctrl,K562,120,45,10691
RPE1,RPS6+ctrl,K562,165,45,10691
RPE1,RPTOR+ctrl,K562,81,41,10691
RPE1,RRN3+ctrl,K562,38,26,10691
RPE1,RRP12+ctrl,K562,191,45,10691
RPE1,RSL1D1+ctrl,K562,124,42,10691
RPE1,RTF1+ctrl,K562,53,33,10691
RPE1,RUVBL1+ctrl,K562,171,48,10691
RPE1,SAMM50+ctrl,K562,94,44,10691
RPE1,SARS2+ctrl,K562,150,43,10691
RPE1,SART3+ctrl,K562,142,42,10691
RPE1,SBNO1+ctrl,K562,127,43,10691
RPE1,SCAF1+ctrl,K562,158,47,10691
RPE1,SCFD1+ctrl,K562,103,41,10691
RPE1,SDAD1+ctrl,K562,210,46,10691
RPE1,SDC1+ctrl,K562,170,47,10691
RPE1,SDE2+ctrl,K562,134,46,10691
RPE1,SDHC+ctrl,K562,91,42,10691
RPE1,SETD1A+ctrl,K562,60,37,10691
RPE1,SETDB1+ctrl,K562,123,42,10691
RPE1,SF1+ctrl,K562,18,15,10691
RPE1,SF3A2+ctrl,K562,236,48,10691
RPE1,SF3B5+ctrl,K562,55,35,10691
RPE1,SFPQ+ctrl,K562,185,48,10691
RPE1,SFSWAP+ctrl,K562,145,45,10691
RPE1,SKA3+ctrl,K562,109,40,10691
RPE1,SLBP+ctrl,K562,63,32,10691
RPE1,SLC39A9+ctrl,K562,724,48,10691
RPE1,SLC7A6OS+ctrl,K562,36,26,10691
RPE1,SLU7+ctrl,K562,195,47,10691
RPE1,SMC1A+ctrl,K562,156,47,10691
RPE1,SMC3+ctrl,K562,42,26,10691
RPE1,SMC4+ctrl,K562,169,45,10691
RPE1,SMG5+ctrl,K562,82,41,10691
RPE1,SMN2+ctrl,K562,319,48,10691
RPE1,SMU1+ctrl,K562,101,39,10691
RPE1,SNAPC1+ctrl,K562,96,43,10691
RPE1,SNIP1+ctrl,K562,43,27,10691
RPE1,SNRNP200+ctrl,K562,92,38,10691
RPE1,SNRNP70+ctrl,K562,85,39,10691
RPE1,SNRPB+ctrl,K562,120,43,10691
RPE1,SNRPC+ctrl,K562,28,17,10691
RPE1,SNRPD1+ctrl,K562,113,41,10691
RPE1,SNRPD3+ctrl,K562,120,46,10691
RPE1,SNRPF+ctrl,K562,92,40,10691
RPE1,SNW1+ctrl,K562,115,44,10691
RPE1,SPC24+ctrl,K562,95,37,10691
RPE1,SPCS3+ctrl,K562,115,42,10691
RPE1,SRBD1+ctrl,K562,143,41,10691
RPE1,SRRM1+ctrl,K562,136,47,10691
RPE1,SRRM2+ctrl,K562,146,43,10691
RPE1,SRSF1+ctrl,K562,117,44,10691
RPE1,SRSF10+ctrl,K562,120,44,10691
RPE1,SRSF3+ctrl,K562,15,10,10691
RPE1,SRSF7+ctrl,K562,100,42,10691
RPE1,SSU72+ctrl,K562,55,33,10691
RPE1,STRAP+ctrl,K562,91,41,10691
RPE1,SUGP1+ctrl,K562,146,46,10691
RPE1,SUPT16H+ctrl,K562,82,40,10691
RPE1,SURF6+ctrl,K562,113,40,10691
RPE1,TADA3+ctrl,K562,139,45,10691
RPE1,TAF10+ctrl,K562,38,25,10691
RPE1,TAF6+ctrl,K562,111,44,10691
RPE1,TAF7+ctrl,K562,84,38,10691
RPE1,TBCB+ctrl,K562,97,42,10691
RPE1,TCERG1+ctrl,K562,93,40,10691
RPE1,TCOF1+ctrl,K562,86,39,10691
RPE1,TELO2+ctrl,K562,73,39,10691
RPE1,TERF2+ctrl,K562,47,28,10691
RPE1,THAP11+ctrl,K562,60,30,10691
RPE1,THOC7+ctrl,K562,104,45,10691
RPE1,TIMM13+ctrl,K562,162,44,10691
RPE1,TIMM23B+ctrl,K562,480,48,10691
RPE1,TIMM44+ctrl,K562,38,24,10691
RPE1,TIMM9+ctrl,K562,183,47,10691
RPE1,TMX2+ctrl,K562,94,38,10691
RPE1,TOMM22+ctrl,K562,89,38,10691
RPE1,TOP1+ctrl,K562,91,42,10691
RPE1,TPR+ctrl,K562,68,38,10691
RPE1,TPX2+ctrl,K562,212,47,10691
RPE1,TRA2B+ctrl,K562,139,47,10691
RPE1,TREX2+ctrl,K562,275,47,10691
RPE1,TRMT112+ctrl,K562,150,44,10691
RPE1,TRMT5+ctrl,K562,93,42,10691
RPE1,TSEN2+ctrl,K562,168,44,10691
RPE1,TSG101+ctrl,K562,83,37,10691
RPE1,TSR1+ctrl,K562,109,43,10691
RPE1,TTI1+ctrl,K562,146,46,10691
RPE1,TTK+ctrl,K562,185,47,10691
RPE1,TUBGCP2+ctrl,K562,226,48,10691
RPE1,TXNL4A+ctrl,K562,66,35,10691
RPE1,U2AF1+ctrl,K562,141,46,10691
RPE1,U2SURP+ctrl,K562,263,48,10691
RPE1,UBA1+ctrl,K562,251,48,10691
RPE1,UBA3+ctrl,K562,94,41,10691
RPE1,UBA52+ctrl,K562,44,33,10691
RPE1,UBAP1+ctrl,K562,102,41,10691
RPE1,UBL5+ctrl,K562,198,47,10691
RPE1,UBQLN4+ctrl,K562,145,45,10691
RPE1,UFM1+ctrl,K562,119,47,10691
RPE1,UPF1+ctrl,K562,115,41,10691
RPE1,UPF2+ctrl,K562,133,43,10691
RPE1,UQCRB+ctrl,K562,93,45,10691
RPE1,UQCRFS1+ctrl,K562,114,40,10691
RPE1,UQCRQ+ctrl,K562,148,44,10691
RPE1,USP39+ctrl,K562,166,46,10691
RPE1,USPL1+ctrl,K562,96,42,10691
RPE1,UTP20+ctrl,K562,92,40,10691
RPE1,UTP23+ctrl,K562,160,47,10691
RPE1,UXT+ctrl,K562,206,46,10691
RPE1,VPS54+ctrl,K562,306,48,10691
RPE1,WAC+ctrl,K562,93,40,10691
RPE1,WBP11+ctrl,K562,205,48,10691
RPE1,WDHD1+ctrl,K562,175,48,10691
RPE1,WDR12+ctrl,K562,174,47,10691
RPE1,WDR24+ctrl,K562,78,39,10691
