task_id,target,condition,n_source_contexts,n_source_cells,weight_sum,target_perturbed_expression_rows_opened
K562::RPL11+ctrl,K562,RPL11+ctrl,3,121,121,0
K562::RPL12+ctrl,K562,RPL12+ctrl,3,194,194,0
K562::RPL14+ctrl,K562,RPL14+ctrl,3,123,123,0
K562::RPL17+ctrl,K562,RPL17+ctrl,3,176,176,0
K562::RPL18+ctrl,K562,RPL18+ctrl,3,175,175,0
K562::RPL19+ctrl,K562,RPL19+ctrl,2,47,47,0
K562::RPL21+ctrl,K562,RPL21+ctrl,3,94,94,0
K562::RPL23A+ctrl,K562,RPL23A+ctrl,3,160,160,0
K562::RPL26+ctrl,K562,RPL26+ctrl,3,259,259,0
K562::RPL32+ctrl,K562,RPL32+ctrl,3,245,245,0
K562::RPL34+ctrl,K562,RPL34+ctrl,3,114,114,0
K562::RPL35+ctrl,K562,RPL35+ctrl,3,209,209,0
K562::RPL35A+ctrl,K562,RPL35A+ctrl,3,367,367,0
K562::RPL37A+ctrl,K562,RPL37A+ctrl,3,197,197,0
K562::RPL38+ctrl,K562,RPL38+ctrl,3,90,90,0
K562::RPL39+ctrl,K562,RPL39+ctrl,3,225,225,0
K562::RPLP0+ctrl,K562,RPLP0+ctrl,3,233,233,0
K562::RPLP1+ctrl,K562,RPLP1+ctrl,1,22,22,0
K562::RPP30+ctrl,K562,RPP30+ctrl,3,249,249,0
K562::RPP38+ctrl,K562,RPP38+ctrl,1,43,43,0
K562::RPS2+ctrl,K562,RPS2+ctrl,3,234,234,0
K562::RPS3+ctrl,K562,RPS3+ctrl,3,164,164,0
K562::RPS3A+ctrl,K562,RPS3A+ctrl,3,192,192,0
K562::RPS4X+ctrl,K562,RPS4X+ctrl,2,133,133,0
K562::RPS6+ctrl,K562,RPS6+ctrl,3,230,230,0
K562::RPS10+ctrl,K562,RPS10+ctrl,3,112,112,0
K562::RPS11+ctrl,K562,RPS11+ctrl,2,98,98,0
K562::RPS15+ctrl,K562,RPS15+ctrl,3,187,187,0
K562::RPS15A+ctrl,K562,RPS15A+ctrl,3,120,120,0
K562::RPS19BP1+ctrl,K562,RPS19BP1+ctrl,3,184,184,0
K562::RPS20+ctrl,K562,RPS20+ctrl,3,161,161,0
K562::RPS24+ctrl,K562,RPS24+ctrl,3,165,165,0
K562::RPS27+ctrl,K562,RPS27+ctrl,3,206,206,0
K562::RPS27A+ctrl,K562,RPS27A+ctrl,3,344,344,0
K562::RPS28+ctrl,K562,RPS28+ctrl,2,85,85,0
K562::RPS29+ctrl,K562,RPS29+ctrl,3,190,190,0
K562::RPSA+ctrl,K562,RPSA+ctrl,2,103,103,0
K562::RPTOR+ctrl,K562,RPTOR+ctrl,3,108,108,0
K562::RRN3+ctrl,K562,RRN3+ctrl,3,188,188,0
K562::RRP1+ctrl,K562,RRP1+ctrl,2,133,133,0
K562::RRP7A+ctrl,K562,RRP7A+ctrl,2,178,178,0
K562::RRP12+ctrl,K562,RRP12+ctrl,3,217,217,0
K562::RSL1D1+ctrl,K562,RSL1D1+ctrl,3,334,334,0
K562::RSL24D1+ctrl,K562,RSL24D1+ctrl,2,81,81,0
K562::RTF1+ctrl,K562,RTF1+ctrl,3,99,99,0
K562::RUVBL1+ctrl,K562,RUVBL1+ctrl,3,159,159,0
K562::SAMM50+ctrl,K562,SAMM50+ctrl,3,114,114,0
K562::SAP18+ctrl,K562,SAP18+ctrl,2,81,81,0
K562::SARS2+ctrl,K562,SARS2+ctrl,3,222,222,0
K562::SART3+ctrl,K562,SART3+ctrl,3,740,740,0
K562::SBNO1+ctrl,K562,SBNO1+ctrl,3,274,274,0
K562::SCAF1+ctrl,K562,SCAF1+ctrl,3,217,217,0
K562::SCFD1+ctrl,K562,SCFD1+ctrl,2,108,108,0
K562::SDAD1+ctrl,K562,SDAD1+ctrl,3,228,228,0
K562::SDC1+ctrl,K562,SDC1+ctrl,2,137,137,0
K562::SDE2+ctrl,K562,SDE2+ctrl,2,77,77,0
K562::SDHC+ctrl,K562,SDHC+ctrl,3,143,143,0
K562::SEC61A1+ctrl,K562,SEC61A1+ctrl,2,207,207,0
K562::SEC61G+ctrl,K562,SEC61G+ctrl,2,167,167,0
K562::SETD1A+ctrl,K562,SETD1A+ctrl,3,218,218,0
K562::SETDB1+ctrl,K562,SETDB1+ctrl,3,308,308,0
K562::SF1+ctrl,K562,SF1+ctrl,2,56,56,0
K562::SF3A2+ctrl,K562,SF3A2+ctrl,3,363,363,0
K562::SF3B5+ctrl,K562,SF3B5+ctrl,2,156,156,0
K562::SFPQ+ctrl,K562,SFPQ+ctrl,2,128,128,0
K562::SFSWAP+ctrl,K562,SFSWAP+ctrl,3,110,110,0
K562::SKA3+ctrl,K562,SKA3+ctrl,2,120,120,0
K562::SLBP+ctrl,K562,SLBP+ctrl,3,157,157,0
K562::SLC7A6OS+ctrl,K562,SLC7A6OS+ctrl,3,206,206,0
K562::SLC39A9+ctrl,K562,SLC39A9+ctrl,3,184,184,0
K562::SLU7+ctrl,K562,SLU7+ctrl,3,406,406,0
K562::SMC1A+ctrl,K562,SMC1A+ctrl,3,201,201,0
K562::SMC3+ctrl,K562,SMC3+ctrl,1,21,21,0
K562::SMC4+ctrl,K562,SMC4+ctrl,2,64,64,0
K562::SMG5+ctrl,K562,SMG5+ctrl,3,822,822,0
K562::SMN2+ctrl,K562,SMN2+ctrl,2,870,870,0
K562::SMU1+ctrl,K562,SMU1+ctrl,1,77,77,0
K562::SNAPC1+ctrl,K562,SNAPC1+ctrl,3,147,147,0
K562::SNIP1+ctrl,K562,SNIP1+ctrl,3,113,113,0
K562::SNRNP70+ctrl,K562,SNRNP70+ctrl,2,96,96,0
K562::SNRNP200+ctrl,K562,SNRNP200+ctrl,3,207,207,0
K562::SNRPB+ctrl,K562,SNRPB+ctrl,3,97,97,0
K562::SNRPC+ctrl,K562,SNRPC+ctrl,3,218,218,0
K562::SNRPD1+ctrl,K562,SNRPD1+ctrl,3,88,88,0
K562::SNRPD3+ctrl,K562,SNRPD3+ctrl,3,89,89,0
K562::SNRPF+ctrl,K562,SNRPF+ctrl,3,86,86,0
K562::SNW1+ctrl,K562,SNW1+ctrl,1,88,88,0
K562::SPC24+ctrl,K562,SPC24+ctrl,1,69,69,0
K562::SPCS3+ctrl,K562,SPCS3+ctrl,3,277,277,0
K562::SRBD1+ctrl,K562,SRBD1+ctrl,2,189,189,0
K562::SRRM1+ctrl,K562,SRRM1+ctrl,3,151,151,0
K562::SRRM2+ctrl,K562,SRRM2+ctrl,3,135,135,0
K562::SRSF1+ctrl,K562,SRSF1+ctrl,3,90,90,0
K562::SRSF3+ctrl,K562,SRSF3+ctrl,1,25,25,0
K562::SRSF7+ctrl,K562,SRSF7+ctrl,2,189,189,0
K562::SRSF10+ctrl,K562,SRSF10+ctrl,2,172,172,0
K562::SS18L2+ctrl,K562,SS18L2+ctrl,1,34,34,0
K562::SSBP1+ctrl,K562,SSBP1+ctrl,1,38,38,0
K562::SSU72+ctrl,K562,SSU72+ctrl,3,627,627,0
K562::STARD7+ctrl,K562,STARD7+ctrl,1,23,23,0
K562::STRAP+ctrl,K562,STRAP+ctrl,3,197,197,0
K562::SUGP1+ctrl,K562,SUGP1+ctrl,3,122,122,0
K562::SUPT5H+ctrl,K562,SUPT5H+ctrl,2,77,77,0
K562::SUPT16H+ctrl,K562,SUPT16H+ctrl,3,114,114,0
K562::SUPV3L1+ctrl,K562,SUPV3L1+ctrl,2,96,96,0
K562::SURF6+ctrl,K562,SURF6+ctrl,3,224,224,0
K562::TADA3+ctrl,K562,TADA3+ctrl,3,185,185,0
K562::TAF1C+ctrl,K562,TAF1C+ctrl,2,127,127,0
K562::TAF6+ctrl,K562,TAF6+ctrl,3,211,211,0
K562::TAF7+ctrl,K562,TAF7+ctrl,3,177,177,0
K562::TAF10+ctrl,K562,TAF10+ctrl,3,187,187,0
K562::TBCB+ctrl,K562,TBCB+ctrl,3,122,122,0
K562::TBL3+ctrl,K562,TBL3+ctrl,1,47,47,0
K562::TCERG1+ctrl,K562,TCERG1+ctrl,3,154,154,0
K562::TCOF1+ctrl,K562,TCOF1+ctrl,3,177,177,0
K562::TELO2+ctrl,K562,TELO2+ctrl,2,143,143,0
K562::TERF2+ctrl,K562,TERF2+ctrl,3,223,223,0
K562::THAP11+ctrl,K562,THAP11+ctrl,3,392,392,0
K562::THOC6+ctrl,K562,THOC6+ctrl,2,156,156,0
K562::THOC7+ctrl,K562,THOC7+ctrl,3,430,430,0
K562::TIMM9+ctrl,K562,TIMM9+ctrl,2,68,68,0
K562::TIMM13+ctrl,K562,TIMM13+ctrl,3,222,222,0
K562::TIMM23B+ctrl,K562,TIMM23B+ctrl,3,847,847,0
K562::TIMM44+ctrl,K562,TIMM44+ctrl,3,188,188,0
K562::TMX2+ctrl,K562,TMX2+ctrl,3,404,404,0
K562::TOMM22+ctrl,K562,TOMM22+ctrl,3,261,261,0
K562::TOP1+ctrl,K562,TOP1+ctrl,3,165,165,0
K562::TPR+ctrl,K562,TPR+ctrl,3,206,206,0
K562::TPX2+ctrl,K562,TPX2+ctrl,2,120,120,0
K562::TRA2B+ctrl,K562,TRA2B+ctrl,3,207,207,0
K562::TREX2+ctrl,K562,TREX2+ctrl,1,384,384,0
K562::TRMT5+ctrl,K562,TRMT5+ctrl,3,177,177,0
K562::TRMT10C+ctrl,K562,TRMT10C+ctrl,1,74,74,0
K562::TRMT112+ctrl,K562,TRMT112+ctrl,3,332,332,0
K562::TSEN2+ctrl,K562,TSEN2+ctrl,3,256,256,0
K562::TSG101+ctrl,K562,TSG101+ctrl,2,84,84,0
K562::TSR1+ctrl,K562,TSR1+ctrl,3,599,599,0
K562::TTI1+ctrl,K562,TTI1+ctrl,3,236,236,0
K562::TTK+ctrl,K562,TTK+ctrl,2,148,148,0
K562::TUBGCP2+ctrl,K562,TUBGCP2+ctrl,2,211,211,0
K562::TXNL4A+ctrl,K562,TXNL4A+ctrl,2,46,46,0
K562::U2AF1+ctrl,K562,U2AF1+ctrl,2,113,113,0
K562::U2SURP+ctrl,K562,U2SURP+ctrl,3,104,104,0
K562::UBA1+ctrl,K562,UBA1+ctrl,2,95,95,0
K562::UBA3+ctrl,K562,UBA3+ctrl,2,92,92,0
K562::UBA52+ctrl,K562,UBA52+ctrl,3,393,393,0
K562::UBAP1+ctrl,K562,UBAP1+ctrl,3,101,101,0
K562::UBL5+ctrl,K562,UBL5+ctrl,3,213,213,0
K562::UBQLN4+ctrl,K562,UBQLN4+ctrl,3,184,184,0
K562::UFM1+ctrl,K562,UFM1+ctrl,3,133,133,0
K562::UPF1+ctrl,K562,UPF1+ctrl,2,78,78,0
K562::UPF2+ctrl,K562,UPF2+ctrl,3,189,189,0
K562::UQCC2+ctrl,K562,UQCC2+ctrl,1,30,30,0
K562::UQCRB+ctrl,K562,UQCRB+ctrl,2,175,175,0
K562::UQCRFS1+ctrl,K562,UQCRFS1+ctrl,2,92,92,0
K562::UQCRQ+ctrl,K562,UQCRQ+ctrl,2,168,168,0
K562::USP36+ctrl,K562,USP36+ctrl,1,42,42,0
K562::USP39+ctrl,K562,USP39+ctrl,2,157,157,0
K562::USPL1+ctrl,K562,USPL1+ctrl,2,68,68,0
K562::UTP20+ctrl,K562,UTP20+ctrl,3,211,211,0
K562::UTP23+ctrl,K562,UTP23+ctrl,3,308,308,0
K562::UXT+ctrl,K562,UXT+ctrl,3,155,155,0
K562::VPS54+ctrl,K562,VPS54+ctrl,1,230,230,0
K562::WAC+ctrl,K562,WAC+ctrl,3,162,162,0
K562::WBP11+ctrl,K562,WBP11+ctrl,2,148,148,0
K562::WDHD1+ctrl,K562,WDHD1+ctrl,3,153,153,0
K562::WDR12+ctrl,K562,WDR12+ctrl,3,250,250,0
K562::WDR24+ctrl,K562,WDR24+ctrl,1,44,44,0
K562::WDR33+ctrl,K562,WDR33+ctrl,3,113,113,0
K562::WDR61+ctrl,K562,WDR61+ctrl,2,117,117,0
K562::WDR82+ctrl,K562,WDR82+ctrl,1,34,34,0
K562::WDTC1+ctrl,K562,WDTC1+ctrl,1,70,70,0
K562::XRCC5+ctrl,K562,XRCC5+ctrl,3,163,163,0
K562::XRN2+ctrl,K562,XRN2+ctrl,2,75,75,0
K562::YEATS2+ctrl,K562,YEATS2+ctrl,3,213,213,0
K562::YTHDC1+ctrl,K562,YTHDC1+ctrl,2,233,233,0
K562::ZBTB17+ctrl,K562,ZBTB17+ctrl,3,800,800,0
K562::ZC3H18+ctrl,K562,ZC3H18+ctrl,2,105,105,0
K562::ZCRB1+ctrl,K562,ZCRB1+ctrl,3,215,215,0
K562::ZFC3H1+ctrl,K562,ZFC3H1+ctrl,3,204,204,0
K562::ZMAT2+ctrl,K562,ZMAT2+ctrl,3,398,398,0
K562::ZMAT5+ctrl,K562,ZMAT5+ctrl,3,115,115,0
K562::ZNF236+ctrl,K562,ZNF236+ctrl,3,766,766,0
K562::ZNF574+ctrl,K562,ZNF574+ctrl,2,216,216,0
K562::ZNHIT6+ctrl,K562,ZNHIT6+ctrl,2,132,132,0
RPE1::AARS+ctrl,RPE1,AARS+ctrl,3,143,143,0
RPE1::ABCE1+ctrl,RPE1,ABCE1+ctrl,3,241,241,0
RPE1::ABCF1+ctrl,RPE1,ABCF1+ctrl,3,316,316,0
RPE1::ABT1+ctrl,RPE1,ABT1+ctrl,3,343,343,0
RPE1::ACTB+ctrl,RPE1,ACTB+ctrl,3,308,308,0
RPE1::ACTR6+ctrl,RPE1,ACTR6+ctrl,3,255,255,0
RPE1::AHCTF1+ctrl,RPE1,AHCTF1+ctrl,3,234,234,0
RPE1::AKIRIN2+ctrl,RPE1,AKIRIN2+ctrl,3,282,282,0
RPE1::ALDOA+ctrl,RPE1,ALDOA+ctrl,2,152,152,0
RPE1::ALG13+ctrl,RPE1,ALG13+ctrl,3,295,295,0
RPE1::ANAPC2+ctrl,RPE1,ANAPC2+ctrl,1,237,237,0
RPE1::ARGLU1+ctrl,RPE1,ARGLU1+ctrl,3,457,457,0
RPE1::ARL2+ctrl,RPE1,ARL2+ctrl,3,183,183,0
RPE1::ATP6V0B+ctrl,RPE1,ATP6V0B+ctrl,3,212,212,0
RPE1::ATP6V1A+ctrl,RPE1,ATP6V1A+ctrl,3,158,158,0
RPE1::ATR+ctrl,RPE1,ATR+ctrl,3,348,348,0
RPE1::ATRIP+ctrl,RPE1,ATRIP+ctrl,3,275,275,0
RPE1::BCAS2+ctrl,RPE1,BCAS2+ctrl,1,197,197,0
RPE1::BDP1+ctrl,RPE1,BDP1+ctrl,3,351,351,0
RPE1::BGLAP+ctrl,RPE1,BGLAP+ctrl,1,236,236,0
RPE1::BNIP1+ctrl,RPE1,BNIP1+ctrl,2,216,216,0
RPE1::BRIX1+ctrl,RPE1,BRIX1+ctrl,3,310,310,0
RPE1::CCDC59+ctrl,RPE1,CCDC59+ctrl,3,387,387,0
RPE1::CCDC84+ctrl,RPE1,CCDC84+ctrl,2,132,132,0
RPE1::CCNH+ctrl,RPE1,CCNH+ctrl,3,383,383,0
RPE1::CCNK+ctrl,RPE1,CCNK+ctrl,1,211,211,0
RPE1::CCT4+ctrl,RPE1,CCT4+ctrl,3,344,344,0
RPE1::CCT7+ctrl,RPE1,CCT7+ctrl,3,279,279,0
RPE1::CD3EAP+ctrl,RPE1,CD3EAP+ctrl,3,345,345,0
RPE1::CDC5L+ctrl,RPE1,CDC5L+ctrl,3,123,123,0
RPE1::CDC6+ctrl,RPE1,CDC6+ctrl,2,219,219,0
RPE1::CDC73+ctrl,RPE1,CDC73+ctrl,3,216,216,0
RPE1::CDC123+ctrl,RPE1,CDC123+ctrl,3,179,179,0
RPE1::CENPE+ctrl,RPE1,CENPE+ctrl,1,171,171,0
RPE1::CENPK+ctrl,RPE1,CENPK+ctrl,2,120,120,0
RPE1::CEP192+ctrl,RPE1,CEP192+ctrl,3,237,237,0
RPE1::CHCHD4+ctrl,RPE1,CHCHD4+ctrl,3,350,350,0
RPE1::CHD4+ctrl,RPE1,CHD4+ctrl,3,127,127,0
RPE1::CHEK1+ctrl,RPE1,CHEK1+ctrl,3,283,283,0
RPE1::CINP+ctrl,RPE1,CINP+ctrl,2,134,134,0
RPE1::CKAP5+ctrl,RPE1,CKAP5+ctrl,1,159,159,0
RPE1::CLNS1A+ctrl,RPE1,CLNS1A+ctrl,2,102,102,0
RPE1::CLP1+ctrl,RPE1,CLP1+ctrl,2,76,76,0
RPE1::CMTR1+ctrl,RPE1,CMTR1+ctrl,3,280,280,0
RPE1::CNOT2+ctrl,RPE1,CNOT2+ctrl,3,243,243,0
RPE1::CNOT3+ctrl,RPE1,CNOT3+ctrl,2,457,457,0
RPE1::COPB1+ctrl,RPE1,COPB1+ctrl,2,75,75,0
RPE1::COPS2+ctrl,RPE1,COPS2+ctrl,3,169,169,0
RPE1::COPS4+ctrl,RPE1,COPS4+ctrl,3,384,384,0
RPE1::COX11+ctrl,RPE1,COX11+ctrl,3,434,434,0
RPE1::CPSF1+ctrl,RPE1,CPSF1+ctrl,3,227,227,0
RPE1::CPSF3+ctrl,RPE1,CPSF3+ctrl,3,1101,1101,0
RPE1::CPSF4+ctrl,RPE1,CPSF4+ctrl,3,228,228,0
RPE1::CPSF6+ctrl,RPE1,CPSF6+ctrl,3,124,124,0
RPE1::CSE1L+ctrl,RPE1,CSE1L+ctrl,3,628,628,0
RPE1::CSNK2B+ctrl,RPE1,CSNK2B+ctrl,3,330,330,0
RPE1::CSTF3+ctrl,RPE1,CSTF3+ctrl,3,175,175,0
RPE1::CTR9+ctrl,RPE1,CTR9+ctrl,1,197,197,0
RPE1::CUL2+ctrl,RPE1,CUL2+ctrl,3,256,256,0
RPE1::CUL7+ctrl,RPE1,CUL7+ctrl,2,86,86,0
RPE1::CWC15+ctrl,RPE1,CWC15+ctrl,3,214,214,0
RPE1::CWF19L2+ctrl,RPE1,CWF19L2+ctrl,3,312,312,0
RPE1::CXXC1+ctrl,RPE1,CXXC1+ctrl,2,264,264,0
RPE1::DAD1+ctrl,RPE1,DAD1+ctrl,2,143,143,0
RPE1::DARS+ctrl,RPE1,DARS+ctrl,3,131,131,0
RPE1::DDB1+ctrl,RPE1,DDB1+ctrl,3,229,229,0
RPE1::DDX5+ctrl,RPE1,DDX5+ctrl,3,371,371,0
RPE1::DDX10+ctrl,RPE1,DDX10+ctrl,3,310,310,0
RPE1::DDX23+ctrl,RPE1,DDX23+ctrl,3,325,325,0
RPE1::DDX41+ctrl,RPE1,DDX41+ctrl,2,290,290,0
RPE1::DDX46+ctrl,RPE1,DDX46+ctrl,3,334,334,0
RPE1::DDX47+ctrl,RPE1,DDX47+ctrl,1,313,313,0
RPE1::DDX52+ctrl,RPE1,DDX52+ctrl,3,411,411,0
RPE1::DDX55+ctrl,RPE1,DDX55+ctrl,3,669,669,0
RPE1::DDX59+ctrl,RPE1,DDX59+ctrl,2,196,196,0
RPE1::DENR+ctrl,RPE1,DENR+ctrl,3,327,327,0
RPE1::DHX16+ctrl,RPE1,DHX16+ctrl,3,454,454,0
RPE1::DHX33+ctrl,RPE1,DHX33+ctrl,3,270,270,0
RPE1::DHX36+ctrl,RPE1,DHX36+ctrl,3,393,393,0
RPE1::DHX37+ctrl,RPE1,DHX37+ctrl,3,452,452,0
RPE1::DKC1+ctrl,RPE1,DKC1+ctrl,3,181,181,0
RPE1::DLD+ctrl,RPE1,DLD+ctrl,3,428,428,0
RPE1::DMAP1+ctrl,RPE1,DMAP1+ctrl,3,128,128,0
RPE1::DNAJC8+ctrl,RPE1,DNAJC8+ctrl,3,462,462,0
RPE1::DNAJC17+ctrl,RPE1,DNAJC17+ctrl,3,169,169,0
RPE1::DNMT1+ctrl,RPE1,DNMT1+ctrl,3,381,381,0
RPE1::DR1+ctrl,RPE1,DR1+ctrl,3,181,181,0
RPE1::DSN1+ctrl,RPE1,DSN1+ctrl,2,260,260,0
RPE1::DTL+ctrl,RPE1,DTL+ctrl,3,172,172,0
RPE1::DUT+ctrl,RPE1,DUT+ctrl,2,77,77,0
RPE1::DYNC1H1+ctrl,RPE1,DYNC1H1+ctrl,3,249,249,0
RPE1::DYNC1I2+ctrl,RPE1,DYNC1I2+ctrl,3,324,324,0
RPE1::EBNA1BP2+ctrl,RPE1,EBNA1BP2+ctrl,3,156,156,0
RPE1::ECD+ctrl,RPE1,ECD+ctrl,2,102,102,0
RPE1::EEF2+ctrl,RPE1,EEF2+ctrl,3,340,340,0
RPE1::EIF1AX+ctrl,RPE1,EIF1AX+ctrl,2,162,162,0
RPE1::EIF2B1+ctrl,RPE1,EIF2B1+ctrl,3,588,588,0
RPE1::EIF2B5+ctrl,RPE1,EIF2B5+ctrl,3,649,649,0
RPE1::EIF2S1+ctrl,RPE1,EIF2S1+ctrl,3,305,305,0
RPE1::EIF2S2+ctrl,RPE1,EIF2S2+ctrl,3,163,163,0
RPE1::EIF2S3+ctrl,RPE1,EIF2S3+ctrl,3,118,118,0
RPE1::EIF3B+ctrl,RPE1,EIF3B+ctrl,3,252,252,0
RPE1::EIF3CL+ctrl,RPE1,EIF3CL+ctrl,1,44,44,0
RPE1::EIF3D+ctrl,RPE1,EIF3D+ctrl,2,192,192,0
RPE1::EIF3E+ctrl,RPE1,EIF3E+ctrl,3,229,229,0
RPE1::EIF3I+ctrl,RPE1,EIF3I+ctrl,3,188,188,0
RPE1::EIF3J+ctrl,RPE1,EIF3J+ctrl,3,197,197,0
RPE1::EIF3M+ctrl,RPE1,EIF3M+ctrl,2,299,299,0
RPE1::EIF4E+ctrl,RPE1,EIF4E+ctrl,3,429,429,0
RPE1::EIF4G2+ctrl,RPE1,EIF4G2+ctrl,3,359,359,0
RPE1::EIF6+ctrl,RPE1,EIF6+ctrl,3,313,313,0
RPE1::ERCC2+ctrl,RPE1,ERCC2+ctrl,3,259,259,0
RPE1::ETF1+ctrl,RPE1,ETF1+ctrl,3,152,152,0
RPE1::EXOC7+ctrl,RPE1,EXOC7+ctrl,3,187,187,0
RPE1::EXOSC2+ctrl,RPE1,EXOSC2+ctrl,3,437,437,0
RPE1::EXOSC3+ctrl,RPE1,EXOSC3+ctrl,3,243,243,0
RPE1::EXOSC7+ctrl,RPE1,EXOSC7+ctrl,3,196,196,0
RPE1::FAM32A+ctrl,RPE1,FAM32A+ctrl,3,412,412,0
RPE1::FAM136A+ctrl,RPE1,FAM136A+ctrl,3,763,763,0
RPE1::FARSA+ctrl,RPE1,FARSA+ctrl,3,301,301,0
RPE1::FTSJ3+ctrl,RPE1,FTSJ3+ctrl,3,222,222,0
RPE1::GARS+ctrl,RPE1,GARS+ctrl,3,300,300,0
RPE1::GBF1+ctrl,RPE1,GBF1+ctrl,1,155,155,0
RPE1::GFER+ctrl,RPE1,GFER+ctrl,3,351,351,0
RPE1::GFM1+ctrl,RPE1,GFM1+ctrl,3,2300,2300,0
RPE1::GINS2+ctrl,RPE1,GINS2+ctrl,3,345,345,0
RPE1::GLE1+ctrl,RPE1,GLE1+ctrl,3,178,178,0
RPE1::GNL3+ctrl,RPE1,GNL3+ctrl,3,250,250,0
RPE1::GPN2+ctrl,RPE1,GPN2+ctrl,2,95,95,0
RPE1::GPN3+ctrl,RPE1,GPN3+ctrl,3,509,509,0
RPE1::GRB2+ctrl,RPE1,GRB2+ctrl,1,53,53,0
RPE1::GRSF1+ctrl,RPE1,GRSF1+ctrl,3,303,303,0
RPE1::GTF2E1+ctrl,RPE1,GTF2E1+ctrl,3,294,294,0
RPE1::GTF2F2+ctrl,RPE1,GTF2F2+ctrl,3,242,242,0
RPE1::HAUS5+ctrl,RPE1,HAUS5+ctrl,2,180,180,0
RPE1::HBS1L+ctrl,RPE1,HBS1L+ctrl,2,167,167,0
RPE1::HDAC7+ctrl,RPE1,HDAC7+ctrl,2,192,192,0
RPE1::HGS+ctrl,RPE1,HGS+ctrl,3,167,167,0
RPE1::HMGCS1+ctrl,RPE1,HMGCS1+ctrl,3,398,398,0
RPE1::HNRNPH1+ctrl,RPE1,HNRNPH1+ctrl,3,181,181,0
RPE1::HSCB+ctrl,RPE1,HSCB+ctrl,2,404,404,0
RPE1::HSPA5+ctrl,RPE1,HSPA5+ctrl,2,293,293,0
RPE1::HSPA9+ctrl,RPE1,HSPA9+ctrl,3,519,519,0
RPE1::HSPE1+ctrl,RPE1,HSPE1+ctrl,3,258,258,0
RPE1::IARS+ctrl,RPE1,IARS+ctrl,3,131,131,0
RPE1::ICE1+ctrl,RPE1,ICE1+ctrl,3,402,402,0
RPE1::IGBP1+ctrl,RPE1,IGBP1+ctrl,3,361,361,0
RPE1::IK+ctrl,RPE1,IK+ctrl,1,123,123,0
RPE1::ILF2+ctrl,RPE1,ILF2+ctrl,3,175,175,0
RPE1::INO80B+ctrl,RPE1,INO80B+ctrl,3,284,284,0
RPE1::INTS3+ctrl,RPE1,INTS3+ctrl,3,261,261,0
RPE1::INTS4+ctrl,RPE1,INTS4+ctrl,3,171,171,0
RPE1::INTS9+ctrl,RPE1,INTS9+ctrl,3,453,453,0
RPE1::IPO9+ctrl,RPE1,IPO9+ctrl,3,352,352,0
RPE1::ISCU+ctrl,RPE1,ISCU+ctrl,2,111,111,0
RPE1::KANSL1+ctrl,RPE1,KANSL1+ctrl,3,137,137,0
RPE1::KARS+ctrl,RPE1,KARS+ctrl,2,84,84,0
RPE1::KAT8+ctrl,RPE1,KAT8+ctrl,3,378,378,0
RPE1::KPNB1+ctrl,RPE1,KPNB1+ctrl,2,260,260,0
RPE1::KRI1+ctrl,RPE1,KRI1+ctrl,3,279,279,0
RPE1::LAS1L+ctrl,RPE1,LAS1L+ctrl,3,303,303,0
RPE1::LETM1+ctrl,RPE1,LETM1+ctrl,3,329,329,0
RPE1::LSG1+ctrl,RPE1,LSG1+ctrl,3,350,350,0
RPE1::LSM3+ctrl,RPE1,LSM3+ctrl,3,209,209,0
RPE1::LSM4+ctrl,RPE1,LSM4+ctrl,3,144,144,0
RPE1::LSM5+ctrl,RPE1,LSM5+ctrl,3,286,286,0
RPE1::LSM6+ctrl,RPE1,LSM6+ctrl,3,528,528,0
RPE1::LSM7+ctrl,RPE1,LSM7+ctrl,3,255,255,0
RPE1::MAD2L1+ctrl,RPE1,MAD2L1+ctrl,3,240,240,0
RPE1::MARS+ctrl,RPE1,MARS+ctrl,3,197,197,0
RPE1::MAX+ctrl,RPE1,MAX+ctrl,3,277,277,0
RPE1::MCM2+ctrl,RPE1,MCM2+ctrl,3,265,265,0
RPE1::MCM3+ctrl,RPE1,MCM3+ctrl,3,520,520,0
RPE1::MCM3AP+ctrl,RPE1,MCM3AP+ctrl,3,181,181,0
RPE1::MCM4+ctrl,RPE1,MCM4+ctrl,3,127,127,0
RPE1::MCM6+ctrl,RPE1,MCM6+ctrl,3,531,531,0
RPE1::MED4+ctrl,RPE1,MED4+ctrl,3,380,380,0
RPE1::MED11+ctrl,RPE1,MED11+ctrl,3,406,406,0
RPE1::MED19+ctrl,RPE1,MED19+ctrl,3,893,893,0
RPE1::MED22+ctrl,RPE1,MED22+ctrl,2,336,336,0
RPE1::MED29+ctrl,RPE1,MED29+ctrl,3,160,160,0
RPE1::MIOS+ctrl,RPE1,MIOS+ctrl,3,352,352,0
RPE1::MNAT1+ctrl,RPE1,MNAT1+ctrl,3,287,287,0
RPE1::MPHOSPH10+ctrl,RPE1,MPHOSPH10+ctrl,3,254,254,0
RPE1::MRGBP+ctrl,RPE1,MRGBP+ctrl,3,345,345,0
RPE1::MRPL36+ctrl,RPE1,MRPL36+ctrl,3,1652,1652,0
RPE1::MRPL38+ctrl,RPE1,MRPL38+ctrl,3,304,304,0
RPE1::MRPS14+ctrl,RPE1,MRPS14+ctrl,2,108,108,0
RPE1::MTBP+ctrl,RPE1,MTBP+ctrl,2,459,459,0
