cell_line,drug_dose,drug,plate,n_full_cells,matched_control_cells,split,maximum_cells_to_extract
CVCL_0320,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,3635,5453,train,128
CVCL_0320,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,1968,3754,train,128
CVCL_0320,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,2294,4411,train,128
CVCL_0320,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,2147,4047,train,128
CVCL_0320,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,2502,3703,train,128
CVCL_0320,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,2563,4715,train,128
CVCL_0320,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,3307,3703,train,128
CVCL_0320,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,2891,4715,train,128
CVCL_0320,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,2064,4715,train,128
CVCL_0320,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,3157,4047,train,128
CVCL_0320,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,2715,4715,train,128
CVCL_0320,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,3617,4715,train,128
CVCL_0320,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,1863,4272,train,128
CVCL_0320,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,2976,3703,train,128
CVCL_0320,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,3507,3703,train,128
CVCL_0320,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,3120,3703,train,128
CVCL_0320,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,4093,3703,train,128
CVCL_0320,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,2634,5453,train,128
CVCL_0320,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,2831,2578,train,128
CVCL_0320,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate5,1843,4411,train,128
CVCL_0320,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,2803,3703,train,128
CVCL_0320,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,2699,3754,train,128
CVCL_0320,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,3705,4715,train,128
CVCL_0320,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,1960,4715,train,128
CVCL_0320,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,3108,3703,train,128
CVCL_0320,"[('Cysteamine (hydrochloride)', 5.0, 'uM')]",Cysteamine (hydrochloride),plate6,2352,4715,train,128
CVCL_0320,"[('DT-061', 0.5, 'uM')]",DT-061,plate2,2697,5453,train,128
CVCL_0320,"[('DTP3', 0.5, 'uM')]",DTP3,plate2,3016,5453,train,128
CVCL_0320,"[('Dabrafenib', 5.0, 'uM')]",Dabrafenib,plate3,2882,1926,train,128
CVCL_0320,"[('Daidzin', 0.5, 'uM')]",Daidzin,plate8,3275,4047,train,128
CVCL_0320,"[('Dimethyl fumarate', 0.5, 'uM')]",Dimethyl fumarate,plate8,2798,4047,train,128
CVCL_0320,"[('Diphenhydramine', 0.5, 'uM')]",Diphenhydramine,plate8,2768,4047,train,128
CVCL_0320,"[('Drospirenone', 5.0, 'uM')]",Drospirenone,plate12,3081,3703,train,128
CVCL_0320,"[('ETC-206', 0.5, 'uM')]",ETC-206,plate2,3080,5453,train,128
CVCL_0320,"[('Elimusertib hydrochloride', 0.5, 'uM')]",Elimusertib hydrochloride,plate2,2270,5453,train,128
CVCL_0320,"[('Encorafenib', 5.0, 'uM')]",Encorafenib,plate3,2807,1926,train,128
CVCL_0320,"[('Entecavir (monohydrate)', 5.0, 'uM')]",Entecavir (monohydrate),plate9,2283,2530,train,128
CVCL_0320,"[('Esmolol (hydrochloride)', 5.0, 'uM')]",Esmolol (hydrochloride),plate12,2875,3703,train,128
CVCL_0320,"[('Everolimus', 0.5, 'uM')]",Everolimus,plate2,3737,5453,train,128
CVCL_0320,"[('Filgotinib', 5.0, 'uM')]",Filgotinib,plate12,3210,3703,train,128
CVCL_0320,"[('Folic acid', 0.5, 'uM')]",Folic acid,plate5,2328,4411,train,128
CVCL_0320,"[('Folic acid', 5.0, 'uM')]",Folic acid,plate6,2234,4715,train,128
CVCL_0320,"[('Fulvestrant', 5.0, 'uM')]",Fulvestrant,plate12,3702,3703,train,128
CVCL_0320,"[('Fusidic acid', 0.05, 'uM')]",Fusidic acid,plate4,2537,3754,train,128
CVCL_0320,"[('Gallic acid', 5.0, 'uM')]",Gallic acid,plate6,2703,4715,train,128
CVCL_0320,"[('Gefitinib', 5.0, 'uM')]",Gefitinib,plate12,3443,3703,train,128
CVCL_0320,"[('Gemcitabine', 0.05, 'uM')]",Gemcitabine,plate1,4607,5142,train,128
CVCL_0320,"[('Gemcitabine', 0.5, 'uM')]",Gemcitabine,plate2,3812,5453,train,128
CVCL_0320,"[('Goserelin (acetate)', 0.05, 'uM')]",Goserelin (acetate),plate4,2272,3754,train,128
CVCL_0320,"[('Goserelin (acetate)', 5.0, 'uM')]",Goserelin (acetate),plate6,2462,4715,train,128
CVCL_0320,"[('Hexylresorcinol', 5.0, 'uM')]",Hexylresorcinol,plate6,2607,4715,train,128
CVCL_0320,"[('Hydroxyfasudil', 0.05, 'uM')]",Hydroxyfasudil,plate13,2783,2578,train,128
CVCL_0320,"[('L-Thyroxine (sodium salt pentahydrate)', 5.0, 'uM')]",L-Thyroxine (sodium salt pentahydrate),plate6,2105,4715,train,128
CVCL_0320,"[('Lonafarnib', 0.5, 'uM')]",Lonafarnib,plate2,3191,5453,train,128
CVCL_0320,"[('Lumateperone (tosylate)', 5.0, 'uM')]",Lumateperone (tosylate),plate6,2017,4715,train,128
CVCL_0320,"[('Methotrexate', 5.0, 'uM')]",Methotrexate,plate12,2662,3703,train,128
CVCL_0320,"[('Methylthiouracil', 0.05, 'uM')]",Methylthiouracil,plate10,3332,4272,train,128
CVCL_0320,"[('Methylthiouracil', 5.0, 'uM')]",Methylthiouracil,plate12,3705,3703,train,128
CVCL_0320,"[('Minodronic acid', 0.5, 'uM')]",Minodronic acid,plate2,3369,5453,train,128
CVCL_0320,"[('Neratinib (maleate)', 5.0, 'uM')]",Neratinib (maleate),plate6,2590,4715,train,128
CVCL_0320,"[('Niclosamide (olamine)', 0.5, 'uM')]",Niclosamide (olamine),plate8,2944,4047,train,128
CVCL_0320,"[('Oleic acid', 0.5, 'uM')]",Oleic acid,plate2,2586,5453,train,128
CVCL_0320,"[('Omeprazole', 0.05, 'uM')]",Omeprazole,plate10,2778,4272,train,128
CVCL_0320,"[('Omeprazole', 5.0, 'uM')]",Omeprazole,plate12,2931,3703,train,128
CVCL_0320,"[('Ouabain (Octahydrate)', 0.05, 'uM')]",Ouabain (Octahydrate),plate10,2618,4272,train,128
CVCL_0320,"[('Oxaliplatin', 0.5, 'uM')]",Oxaliplatin,plate2,3526,5453,train,128
CVCL_0320,"[('Paclitaxel', 0.5, 'uM')]",Paclitaxel,plate2,3576,5453,train,128
CVCL_0320,"[('Palmatine (chloride)', 0.05, 'uM')]",Palmatine (chloride),plate4,2222,3754,train,128
CVCL_0320,"[('Pentagastrin', 5.0, 'uM')]",Pentagastrin,plate6,3082,4715,train,128
CVCL_0320,"[('Perindopril (erbumine)', 0.05, 'uM')]",Perindopril (erbumine),plate10,3008,4272,train,128
CVCL_0320,"[('Ponatinib', 0.05, 'uM')]",Ponatinib,plate10,2721,4272,train,128
CVCL_0320,"[('Posaconazole', 5.0, 'uM')]",Posaconazole,plate9,2357,2530,train,128
CVCL_0320,"[('Pyridoxine (hydrochloride)', 0.5, 'uM')]",Pyridoxine (hydrochloride),plate5,2375,4411,train,128
CVCL_0320,"[('Pyridoxine (hydrochloride)', 5.0, 'uM')]",Pyridoxine (hydrochloride),plate6,2001,4715,train,128
CVCL_0320,"[('Quinestrol', 0.05, 'uM')]",Quinestrol,plate4,2446,3754,train,128
CVCL_0320,"[('RMC-6236', 0.5, 'uM')]",RMC-6236,plate2,3225,5453,train,128
CVCL_0320,"[('Raltitrexed', 5.0, 'uM')]",Raltitrexed,plate6,3400,4715,train,128
CVCL_0320,"[('Regorafenib', 0.5, 'uM')]",Regorafenib,plate2,2821,5453,train,128
CVCL_0320,"[('Relugolix', 5.0, 'uM')]",Relugolix,plate6,2438,4715,train,128
CVCL_0320,"[('Resveratrol', 5.0, 'uM')]",Resveratrol,plate6,2266,4715,train,128
CVCL_0320,"[('Riluzole hydrochloride', 5.0, 'uM')]",Riluzole hydrochloride,plate14,2700,2387,train,128
CVCL_0320,"[('Rimonabant', 0.05, 'uM')]",Rimonabant,plate4,2112,3754,train,128
CVCL_0320,"[('Selinexor ', 0.05, 'uM')]",Selinexor ,plate4,2526,3754,train,128
CVCL_0320,"[('Selinexor ', 5.0, 'uM')]",Selinexor ,plate6,1991,4715,train,128
CVCL_0320,"[('Sivelestat (sodium tetrahydrate)', 5.0, 'uM')]",Sivelestat (sodium tetrahydrate),plate9,2322,2530,train,128
CVCL_0320,"[('Sonidegib', 0.05, 'uM')]",Sonidegib,plate13,2314,2578,train,128
CVCL_0320,"[('Tolcapone', 5.0, 'uM')]",Tolcapone,plate6,2673,4715,train,128
CVCL_0320,"[('Torkinib', 0.5, 'uM')]",Torkinib,plate2,2972,5453,train,128
CVCL_0320,"[('Tubulin inhibitor 6', 0.5, 'uM')]",Tubulin inhibitor 6,plate2,3176,5453,train,128
CVCL_0320,"[('Uridine', 5.0, 'uM')]",Uridine,plate12,3934,3703,train,128
CVCL_0320,"[('Vemurafenib', 0.5, 'uM')]",Vemurafenib,plate2,4512,5453,train,128
CVCL_0320,"[('olaparib', 0.5, 'uM')]",olaparib,plate2,3189,5453,train,128
CVCL_0332,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]",(R)-Verapamil (hydrochloride),plate4,1376,2654,train,128
CVCL_0332,"[('4EGI-1', 0.5, 'uM')]",4EGI-1,plate2,1964,3831,train,128
CVCL_0332,"[('8-Hydroxyquinoline', 5.0, 'uM')]",8-Hydroxyquinoline,plate6,1505,3429,train,128
CVCL_0332,"[('Adagrasib', 0.05, 'uM')]",Adagrasib,plate7,2671,1757,train,128
CVCL_0332,"[('Adenine', 5.0, 'uM')]",Adenine,plate6,1761,3429,train,128
CVCL_0332,"[('Afatinib', 0.5, 'uM')]",Afatinib,plate8,2394,3198,train,128
CVCL_0332,"[('Afatinib', 5.0, 'uM')]",Afatinib,plate13,1509,1735,train,128
CVCL_0332,"[('Almonertinib (mesylate)', 0.5, 'uM')]",Almonertinib (mesylate),plate8,3673,3198,train,128
CVCL_0332,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,2438,3831,train,128
CVCL_0332,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,1367,2654,train,128
CVCL_0332,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,1767,3404,train,128
CVCL_0332,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,2216,3198,train,128
CVCL_0332,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,2768,2811,train,128
CVCL_0332,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,1636,3429,train,128
CVCL_0332,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,4123,2811,train,128
CVCL_0332,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,1871,3429,train,128
CVCL_0332,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,1512,3429,train,128
CVCL_0332,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,3108,3198,train,128
CVCL_0332,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,1594,3429,train,128
CVCL_0332,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,2138,3429,train,128
CVCL_0332,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,1902,4484,train,128
CVCL_0332,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,3083,2811,train,128
CVCL_0332,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,4085,2811,train,128
CVCL_0332,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,3171,2811,train,128
CVCL_0332,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,4773,2811,train,128
CVCL_0332,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,1692,3831,train,128
CVCL_0332,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,2895,1735,train,128
CVCL_0332,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate5,1531,3404,train,128
CVCL_0332,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,2593,2811,train,128
CVCL_0332,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,1573,2654,train,128
CVCL_0332,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,2536,3429,train,128
CVCL_0332,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,1588,3429,train,128
CVCL_0332,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,2969,2811,train,128
CVCL_0332,"[('Cysteamine (hydrochloride)', 5.0, 'uM')]",Cysteamine (hydrochloride),plate6,1577,3429,train,128
CVCL_0332,"[('DT-061', 0.5, 'uM')]",DT-061,plate2,1954,3831,train,128
CVCL_0332,"[('DTP3', 0.5, 'uM')]",DTP3,plate2,1990,3831,train,128
CVCL_0332,"[('Dabrafenib', 5.0, 'uM')]",Dabrafenib,plate3,2095,1694,train,128
CVCL_0332,"[('Daidzin', 0.5, 'uM')]",Daidzin,plate8,2952,3198,train,128
CVCL_0332,"[('Dimethyl fumarate', 0.5, 'uM')]",Dimethyl fumarate,plate8,2642,3198,train,128
CVCL_0332,"[('Diphenhydramine', 0.5, 'uM')]",Diphenhydramine,plate8,2318,3198,train,128
CVCL_0332,"[('Drospirenone', 5.0, 'uM')]",Drospirenone,plate12,2867,2811,train,128
CVCL_0332,"[('ETC-206', 0.5, 'uM')]",ETC-206,plate2,1969,3831,train,128
CVCL_0332,"[('Elimusertib hydrochloride', 0.5, 'uM')]",Elimusertib hydrochloride,plate2,1642,3831,train,128
CVCL_0332,"[('Encorafenib', 5.0, 'uM')]",Encorafenib,plate3,2002,1694,train,128
CVCL_0332,"[('Entecavir (monohydrate)', 5.0, 'uM')]",Entecavir (monohydrate),plate9,2647,2745,train,128
CVCL_0332,"[('Esmolol (hydrochloride)', 5.0, 'uM')]",Esmolol (hydrochloride),plate12,3166,2811,train,128
CVCL_0332,"[('Everolimus', 0.5, 'uM')]",Everolimus,plate2,2242,3831,train,128
CVCL_0332,"[('Filgotinib', 5.0, 'uM')]",Filgotinib,plate12,3777,2811,train,128
CVCL_0332,"[('Folic acid', 0.5, 'uM')]",Folic acid,plate5,1978,3404,train,128
CVCL_0332,"[('Folic acid', 5.0, 'uM')]",Folic acid,plate6,1541,3429,train,128
CVCL_0332,"[('Fulvestrant', 5.0, 'uM')]",Fulvestrant,plate12,4394,2811,train,128
CVCL_0332,"[('Fusidic acid', 0.05, 'uM')]",Fusidic acid,plate4,1665,2654,train,128
CVCL_0332,"[('Gallic acid', 5.0, 'uM')]",Gallic acid,plate6,1908,3429,train,128
CVCL_0332,"[('Gefitinib', 5.0, 'uM')]",Gefitinib,plate12,3731,2811,train,128
CVCL_0332,"[('Gemcitabine', 0.05, 'uM')]",Gemcitabine,plate1,2609,2569,train,128
CVCL_0332,"[('Gemcitabine', 0.5, 'uM')]",Gemcitabine,plate2,2061,3831,train,128
CVCL_0332,"[('Goserelin (acetate)', 0.05, 'uM')]",Goserelin (acetate),plate4,1624,2654,train,128
CVCL_0332,"[('Goserelin (acetate)', 5.0, 'uM')]",Goserelin (acetate),plate6,1775,3429,train,128
CVCL_0332,"[('Hexylresorcinol', 5.0, 'uM')]",Hexylresorcinol,plate6,1744,3429,train,128
CVCL_0332,"[('Hydroxyfasudil', 0.05, 'uM')]",Hydroxyfasudil,plate13,2367,1735,train,128
CVCL_0332,"[('L-Thyroxine (sodium salt pentahydrate)', 5.0, 'uM')]",L-Thyroxine (sodium salt pentahydrate),plate6,1670,3429,train,128
CVCL_0332,"[('Lonafarnib', 0.5, 'uM')]",Lonafarnib,plate2,1864,3831,train,128
CVCL_0332,"[('Lumateperone (tosylate)', 5.0, 'uM')]",Lumateperone (tosylate),plate6,1379,3429,train,128
CVCL_0332,"[('Methotrexate', 5.0, 'uM')]",Methotrexate,plate12,2329,2811,train,128
CVCL_0332,"[('Methylthiouracil', 0.05, 'uM')]",Methylthiouracil,plate10,3655,4484,train,128
CVCL_0332,"[('Methylthiouracil', 5.0, 'uM')]",Methylthiouracil,plate12,4125,2811,train,128
CVCL_0332,"[('Minodronic acid', 0.5, 'uM')]",Minodronic acid,plate2,2219,3831,train,128
CVCL_0332,"[('Neratinib (maleate)', 5.0, 'uM')]",Neratinib (maleate),plate6,1988,3429,train,128
CVCL_0332,"[('Niclosamide (olamine)', 0.5, 'uM')]",Niclosamide (olamine),plate8,2687,3198,train,128
CVCL_0332,"[('Oleic acid', 0.5, 'uM')]",Oleic acid,plate2,1780,3831,train,128
CVCL_0332,"[('Omeprazole', 0.05, 'uM')]",Omeprazole,plate10,2862,4484,train,128
CVCL_0332,"[('Omeprazole', 5.0, 'uM')]",Omeprazole,plate12,3197,2811,train,128
CVCL_0332,"[('Ouabain (Octahydrate)', 0.05, 'uM')]",Ouabain (Octahydrate),plate10,2527,4484,train,128
CVCL_0332,"[('Oxaliplatin', 0.5, 'uM')]",Oxaliplatin,plate2,1982,3831,train,128
CVCL_0332,"[('Paclitaxel', 0.5, 'uM')]",Paclitaxel,plate2,2317,3831,train,128
CVCL_0332,"[('Palmatine (chloride)', 0.05, 'uM')]",Palmatine (chloride),plate4,1538,2654,train,128
CVCL_0332,"[('Pentagastrin', 5.0, 'uM')]",Pentagastrin,plate6,2162,3429,train,128
CVCL_0332,"[('Perindopril (erbumine)', 0.05, 'uM')]",Perindopril (erbumine),plate10,3008,4484,train,128
CVCL_0332,"[('Ponatinib', 0.05, 'uM')]",Ponatinib,plate10,2854,4484,train,128
CVCL_0332,"[('Posaconazole', 5.0, 'uM')]",Posaconazole,plate9,2392,2745,train,128
CVCL_0332,"[('Pyridoxine (hydrochloride)', 0.5, 'uM')]",Pyridoxine (hydrochloride),plate5,1809,3404,train,128
CVCL_0332,"[('Pyridoxine (hydrochloride)', 5.0, 'uM')]",Pyridoxine (hydrochloride),plate6,1411,3429,train,128
CVCL_0332,"[('Quinestrol', 0.05, 'uM')]",Quinestrol,plate4,1761,2654,train,128
CVCL_0332,"[('RMC-6236', 0.5, 'uM')]",RMC-6236,plate2,2126,3831,train,128
CVCL_0332,"[('Raltitrexed', 5.0, 'uM')]",Raltitrexed,plate6,2090,3429,train,128
CVCL_0332,"[('Regorafenib', 0.5, 'uM')]",Regorafenib,plate2,1841,3831,train,128
CVCL_0332,"[('Relugolix', 5.0, 'uM')]",Relugolix,plate6,1892,3429,train,128
CVCL_0332,"[('Resveratrol', 5.0, 'uM')]",Resveratrol,plate6,1706,3429,train,128
CVCL_0332,"[('Riluzole hydrochloride', 5.0, 'uM')]",Riluzole hydrochloride,plate6,1339,3429,train,128
CVCL_0332,"[('Rimonabant', 0.05, 'uM')]",Rimonabant,plate4,1422,2654,train,128
CVCL_0332,"[('Selinexor ', 0.05, 'uM')]",Selinexor ,plate4,1853,2654,train,128
CVCL_0332,"[('Selinexor ', 5.0, 'uM')]",Selinexor ,plate6,1324,3429,train,128
CVCL_0332,"[('Sivelestat (sodium tetrahydrate)', 5.0, 'uM')]",Sivelestat (sodium tetrahydrate),plate9,2425,2745,train,128
CVCL_0332,"[('Sonidegib', 0.05, 'uM')]",Sonidegib,plate13,1948,1735,train,128
CVCL_0332,"[('Tolcapone', 5.0, 'uM')]",Tolcapone,plate6,1665,3429,train,128
CVCL_0332,"[('Torkinib', 0.5, 'uM')]",Torkinib,plate2,1773,3831,train,128
CVCL_0332,"[('Tubulin inhibitor 6', 0.5, 'uM')]",Tubulin inhibitor 6,plate2,1822,3831,train,128
CVCL_0332,"[('Uridine', 5.0, 'uM')]",Uridine,plate12,4188,2811,train,128
CVCL_0332,"[('Vemurafenib', 0.5, 'uM')]",Vemurafenib,plate2,2801,3831,train,128
CVCL_0332,"[('olaparib', 0.5, 'uM')]",olaparib,plate2,1913,3831,train,128
CVCL_0359,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]",(R)-Verapamil (hydrochloride),plate4,2739,4230,train,128
CVCL_0359,"[('4EGI-1', 0.5, 'uM')]",4EGI-1,plate2,3303,6387,train,128
CVCL_0359,"[('8-Hydroxyquinoline', 5.0, 'uM')]",8-Hydroxyquinoline,plate6,3001,6002,train,128
CVCL_0359,"[('Adagrasib', 0.05, 'uM')]",Adagrasib,plate2,3482,6387,train,128
CVCL_0359,"[('Adenine', 5.0, 'uM')]",Adenine,plate6,3259,6002,train,128
CVCL_0359,"[('Afatinib', 0.5, 'uM')]",Afatinib,plate8,2596,4445,train,128
CVCL_0359,"[('Afatinib', 5.0, 'uM')]",Afatinib,plate3,2272,2674,train,128
CVCL_0359,"[('Almonertinib (mesylate)', 0.5, 'uM')]",Almonertinib (mesylate),plate8,3609,4445,train,128
CVCL_0359,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,3973,6387,train,128
CVCL_0359,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,2472,4230,train,128
CVCL_0359,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,2979,6005,train,128
CVCL_0359,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,3067,4445,train,128
CVCL_0359,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,3566,4026,train,128
CVCL_0359,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,3035,6002,train,128
CVCL_0359,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,4417,4026,train,128
CVCL_0359,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,3484,6002,train,128
CVCL_0359,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,3188,6002,train,128
CVCL_0359,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,3878,4445,train,128
CVCL_0359,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,2854,6002,train,128
CVCL_0359,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,3804,6002,train,128
CVCL_0359,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,2359,4858,train,128
CVCL_0359,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,3880,4026,train,128
CVCL_0359,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,4771,4026,train,128
CVCL_0359,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,3745,4026,train,128
CVCL_0359,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,4905,4026,train,128
CVCL_0359,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,2664,6387,train,128
CVCL_0359,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,3269,2416,train,128
CVCL_0359,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate5,2726,6005,train,128
CVCL_0359,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,3553,4026,train,128
CVCL_0359,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,2552,4230,train,128
CVCL_0359,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,4476,6002,train,128
CVCL_0359,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,3133,6002,train,128
CVCL_0359,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,3659,4026,train,128
CVCL_0359,"[('Cysteamine (hydrochloride)', 5.0, 'uM')]",Cysteamine (hydrochloride),plate6,3062,6002,train,128
CVCL_0359,"[('DT-061', 0.5, 'uM')]",DT-061,plate2,2873,6387,train,128
CVCL_0359,"[('DTP3', 0.5, 'uM')]",DTP3,plate2,3082,6387,train,128
CVCL_0359,"[('Dabrafenib', 5.0, 'uM')]",Dabrafenib,plate3,3250,2674,train,128
CVCL_0359,"[('Daidzin', 0.5, 'uM')]",Daidzin,plate8,3255,4445,train,128
CVCL_0359,"[('Dimethyl fumarate', 0.5, 'uM')]",Dimethyl fumarate,plate8,3090,4445,train,128
CVCL_0359,"[('Diphenhydramine', 0.5, 'uM')]",Diphenhydramine,plate8,2593,4445,train,128
CVCL_0359,"[('Drospirenone', 5.0, 'uM')]",Drospirenone,plate12,3722,4026,train,128
CVCL_0359,"[('ETC-206', 0.5, 'uM')]",ETC-206,plate2,2869,6387,train,128
CVCL_0359,"[('Elimusertib hydrochloride', 0.5, 'uM')]",Elimusertib hydrochloride,plate2,2765,6387,train,128
CVCL_0359,"[('Encorafenib', 5.0, 'uM')]",Encorafenib,plate3,2427,2674,train,128
CVCL_0359,"[('Entecavir (monohydrate)', 5.0, 'uM')]",Entecavir (monohydrate),plate9,2871,2881,train,128
CVCL_0359,"[('Esmolol (hydrochloride)', 5.0, 'uM')]",Esmolol (hydrochloride),plate12,4097,4026,train,128
CVCL_0359,"[('Everolimus', 0.5, 'uM')]",Everolimus,plate2,3236,6387,train,128
CVCL_0359,"[('Filgotinib', 5.0, 'uM')]",Filgotinib,plate12,4746,4026,train,128
CVCL_0359,"[('Folic acid', 0.5, 'uM')]",Folic acid,plate5,3677,6005,train,128
CVCL_0359,"[('Folic acid', 5.0, 'uM')]",Folic acid,plate6,3019,6002,train,128
CVCL_0359,"[('Fulvestrant', 5.0, 'uM')]",Fulvestrant,plate12,4507,4026,train,128
CVCL_0359,"[('Fusidic acid', 0.05, 'uM')]",Fusidic acid,plate4,2539,4230,train,128
CVCL_0359,"[('Gallic acid', 5.0, 'uM')]",Gallic acid,plate6,3358,6002,train,128
CVCL_0359,"[('Gefitinib', 5.0, 'uM')]",Gefitinib,plate12,4771,4026,train,128
CVCL_0359,"[('Gemcitabine', 0.05, 'uM')]",Gemcitabine,plate1,3232,3787,train,128
CVCL_0359,"[('Gemcitabine', 0.5, 'uM')]",Gemcitabine,plate2,2543,6387,train,128
CVCL_0359,"[('Goserelin (acetate)', 0.05, 'uM')]",Goserelin (acetate),plate4,2543,4230,train,128
CVCL_0359,"[('Goserelin (acetate)', 5.0, 'uM')]",Goserelin (acetate),plate6,3313,6002,train,128
CVCL_0359,"[('Hexylresorcinol', 5.0, 'uM')]",Hexylresorcinol,plate6,3231,6002,train,128
CVCL_0359,"[('Hydroxyfasudil', 0.05, 'uM')]",Hydroxyfasudil,plate13,2796,2416,train,128
