selection_rank,perturbation,eligibility_hash,in_all_expression_gene_axes,scgpt_token,in_scgpt_vocabulary,n_cells_K562,n_batches_K562,n_guide_entities_K562,n_transcript_groups_K562,n_gene_ids_K562,n_cells_RPE1,n_batches_RPE1,n_guide_entities_RPE1,n_transcript_groups_RPE1,n_gene_ids_RPE1,minimum_cells_across_contexts,minimum_batches_across_contexts,eligible,selection_hash,selected_without_expression_values_or_outcomes
104,GFM1,d2e32fcef263350b12e679c9469f7d0601d7b500eb79e4b512c4592d60ad6a55,True,GFM1,True,240,47,1,1,1,1699,56,1,1,1,240,47,True,47a87df7ca50f05712a8b93176b41a586873a7c8ed730509069134fd5726ccdc,True
105,PSMB5,ce5e0280bb0cf78d02f5547283c877cd340098ac937dfc90626893752e46591b,True,PSMB5,True,270,48,1,1,1,147,52,1,1,1,147,48,True,47effe717a5b2fdbd9d642e14606fd796fd10ef187327bced46c748c2edb1348,True
106,POLR1C,42eecd3aeb145e44ed839a14245d1c8b9ed5aaead2fde360d4a4289d28c2cc80,True,POLR1C,True,187,47,2,2,1,233,55,2,2,1,187,47,True,480430ff720c6c5347587139c1cc9b5dd09de8cfc72e4825a2fc652b323b8eed,True
107,GON4L,d5fbc822cd66d92274b58be5e9f1ecaea6a759ace0a21c32c26b5d106a7cf7e9,True,GON4L,True,237,48,2,2,1,122,51,2,2,1,122,48,True,490cdea92e15e9ca46e462acc8991f7e0e478d098c242dc86954b4f9e81150df,True
108,DNMT1,dbe45f338d29b0bad7f46963dbb68489d53f47355aed59d951b4f999fda9239c,True,DNMT1,True,170,46,1,1,1,113,46,1,1,1,113,46,True,4a9fe014e4f9fa57619e34154ff34f8449106f72502dabb6186618a97b5b6de5,True
109,NDUFS3,8455e66a9cbf6addfbb16af73ccd78df0efef543eae57583e19b1ff88336c031,True,NDUFS3,True,112,43,1,1,1,120,51,1,1,1,112,43,True,4bab86914e52751c4e4e85a9fa68925a195cd9ed7051b957de58d09ffca6e758,True
110,EIF2B3,559ad08c6a63350f8558ec532a0ac785ed86ffe9f241e47706ae264300bfc209,True,EIF2B3,True,104,41,1,1,1,104,50,1,1,1,104,41,True,4be38846aad4690bd90ed21fbf5600b19a62e7dbdd6fbf77ca63030925538c61,True
111,DDX1,848eccc1518d69c860526c0f77cae3e92a7e63d34b943326f32e3e42e604d0ba,True,DDX1,True,101,44,1,1,1,135,52,1,1,1,101,44,True,4c151991505d2f779761216b49595517c19dcba78fa5b997890e13eb007aca65,True
112,LIN54,6d7206ed86ec99408c913812382e50100e93ddf373a1446bfc0f758fd330fb7e,True,LIN54,True,306,47,2,2,1,163,54,2,2,1,163,47,True,4c1a418e3445bf6a019157b68bb14e361ab9e27ecc63e71343ac2094f388e9b0,True
113,MRPS7,d719a481f3d032279f88daafd3f28f327319bd46b7f2767c1a0b03d736e6f583,True,MRPS7,True,123,44,1,1,1,118,47,1,1,1,118,44,True,4cbcaad963890e825d8418745839672f84980285c0b18877ce21b2c9a7b88a98,True
114,RHOQ,82496d442ffb3742df7e9bb2e4298e710e62510ebed27f02ef86299f0067170b,True,RHOQ,True,185,48,1,1,1,347,56,1,1,1,185,48,True,4cd37a2d5d7014da7c787737f9edaee83aa3a2c59abd5bac68bb66c0759c91d6,True
115,MRPL39,0901c791fb2bd3e5946f092b43e4331eeda1fb6f5d12be99fcccdedeeace2e6f,True,MRPL39,True,154,46,1,1,1,286,56,1,1,1,154,46,True,4d544ee6ff3552ca881b727c35f08e2a99cc67e085cc82b234c1744e5eae5fe0,True
116,WNK1,2268574ef6d0c8590b4e2cb0f2b8db2766d93781080ee58e571435a9889d9d25,True,WNK1,True,137,43,1,1,1,109,50,1,1,1,109,43,True,4e0566f06625b8d71b3684ce54cbe9684b5328ccec64bf60400f0b0c443f0a0a,True
117,PPA1,d193522d799518150cfe09d85d051d32e28ca17f7b0d509c79db0239a782ed22,True,PPA1,True,143,46,1,1,1,145,53,1,1,1,143,46,True,4e3f38fb0fff4a11de7e8ac36cf9cd5f1e7f45958952ea72b608ccff871505fc,True
118,UBA2,3c89b9040dbca9ddc1995b1587b293512e11f0afbdb95586db4c4d5f5c40d9ad,True,UBA2,True,172,47,1,1,1,156,53,1,1,1,156,47,True,4e9aaab758cdd41aceb9bb43b9bce7de9b72456c3de067fa7aadd67f1449ca2d,True
119,DCTN2,bc6a1afceb3433c2fd72ce3948ce0b84766af54dfd3270f98fec0ce7033c9c88,True,DCTN2,True,126,43,1,1,1,102,48,1,1,1,102,43,True,4f11fe05df12c3d8d7475cbbfabcaecd218244546c37c189cbb31d9143009f4c,True
120,ANKRD11,14dedd16350077317c621b17e33c17c7a7e7b83f63bbbc522afd5c1bdceeef45,True,ANKRD11,True,260,48,1,1,1,165,53,1,1,1,165,48,True,50fbef4dfb928cbb2fac616d7b98c8ffd5753a2395de8e74fa401931233a344b,True
121,BRIP1,7cf506fc0d253c695b8d0f07c71e3003ff98b9dbf2aff1b16406654781500021,True,BRIP1,True,132,45,1,1,1,110,47,1,1,1,110,45,True,530f2957f3be8c9082cac4c5f5372bff0c4d8970e07bc0b4907229d74336362b,True
122,YRDC,92299bca6eca635572182c7ae62ed7fc5e7b585c8d100a86e54dc41bd497fe21,True,YRDC,True,106,40,1,1,1,281,55,1,1,1,106,40,True,550951af79c6f03ec1bc4838afb9a6750bf4e2d33afabf4ad5fd7f5c36afb6d7,True
123,NDUFA6,ac77b88b62cab996e8fc65c6a6ab092ccd21705a89d78b5a38e2bb7ae6375b07,True,NDUFA6,True,169,45,1,1,1,110,51,1,1,1,110,45,True,56197e3069ca5f504317d2a795bd07370c310ae967f00b884a9c978df7f26dc4,True
124,SLC7A5,bfaf34451da62a0f0d7c64979b227be8244995cb75589283a403f41cc582d397,True,SLC7A5,True,378,48,1,1,1,253,54,1,1,1,253,48,True,567a5a8a3cfe4d898ec0f6e83a3593b60d0b413456cb419bd01151700970f420,True
125,PTMA,9ce1bd0fde5be15ebd30b77a0aee5460bb25b0be25b2886964440e213923afa4,True,PTMA,True,152,45,1,1,1,190,54,1,1,1,152,45,True,56bdf6feb716bc12a90a4daccdbad0ee3d78862d10ad31ef937f10f2c7e59e20,True
126,LAMTOR4,8983910d59d61894a054324095db4d4e3e75540b272dfeb72cd0c882cee75231,True,LAMTOR4,True,136,44,1,1,1,131,51,1,1,1,131,44,True,56fc29d06d37cd867d75af77b49fbf106ea12b7b33af5caffc2120653e3e957a,True
127,CKAP5,4fe3f8bba7bc776765b35fc9b2d579b30bd3077cd73a41df90ad9b2bc3c94583,True,CKAP5,True,315,48,2,2,1,173,51,2,2,1,173,48,True,570a4d4b3f31f668144218f0e38cad5621199fa266967e4a5ca96dd406b1bb4d,True
128,HMGB1,9cfc4aa42256a73643ee5a332bc41d5be3ec324f05988fbb9fb7b45290a42f4a,True,HMGB1,True,241,48,2,2,1,133,53,2,2,1,133,48,True,5797f12e7d4a68b6d003708e8daa126a9588d04665eae52263fb5426a9b86f17,True
