task_id,batch,gene,n_target_cells
REPL::27::SRPRB,27,SRPRB,6
REPL::29::SRPRB,29,SRPRB,5
REPL::30::SRPRB,30,SRPRB,5
REPL::32::SRPRB,32,SRPRB,5
REPL::34::SRPRB,34,SRPRB,5
REPL::37::SRPRB,37,SRPRB,7
REPL::40::SRPRB,40,SRPRB,6
REPL::41::SRPRB,41,SRPRB,6
REPL::42::SRPRB,42,SRPRB,5
REPL::43::SRPRB,43,SRPRB,5
REPL::46::SRPRB,46,SRPRB,6
REPL::6::SRPRB,6,SRPRB,5
REPL::22::TARS,22,TARS,5
REPL::27::TARS,27,TARS,6
REPL::38::TARS,38,TARS,7
REPL::39::TARS,39,TARS,8
REPL::43::TARS,43,TARS,8
REPL::7::TARS,7,TARS,5
REPL::8::TARS,8,TARS,5
REPL::12::TIMM44,12,TIMM44,5
REPL::14::TMED2,14,TMED2,6
REPL::22::TMED2,22,TMED2,6
REPL::23::TMED2,23,TMED2,5
REPL::42::TMED2,42,TMED2,5
REPL::47::TMED2,47,TMED2,5
REPL::5::TMED2,5,TMED2,5
REPL::11::TTI1,11,TTI1,5
REPL::15::TTI1,15,TTI1,5
REPL::20::TTI1,20,TTI1,5
REPL::25::TTI1,25,TTI1,8
REPL::26::TTI1,26,TTI1,5
REPL::28::TTI1,28,TTI1,7
REPL::3::TTI1,3,TTI1,5
REPL::34::TTI1,34,TTI1,6
REPL::41::TTI1,41,TTI1,5
REPL::43::TTI1,43,TTI1,7
REPL::47::TTI1,47,TTI1,5
REPL::1::UFL1,1,UFL1,5
REPL::17::UFL1,17,UFL1,5
REPL::20::UFL1,20,UFL1,9
REPL::22::UFL1,22,UFL1,5
REPL::24::UFL1,24,UFL1,5
REPL::35::UFL1,35,UFL1,5
REPL::7::UFL1,7,UFL1,12
REPL::11::UFM1,11,UFM1,5
REPL::12::UFM1,12,UFM1,5
REPL::18::UFM1,18,UFM1,5
REPL::19::UFM1,19,UFM1,5
REPL::44::UFM1,44,UFM1,5
REPL::7::UFM1,7,UFM1,7
