perturbation,guide_id,n_guide_cells,target_split,cell_count_quartile,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,selection_used_expression_matrix_or_truth_effect
RBM42,RBM42_1,21,supervised_train,Q2,02a262d5715f8c6e102b5613c03c7d25c7ef1c890c41c470a3195bd82ef88ee9,E182::RBM42::RBM42_1,RBM42,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM42,RBM42_2,19,supervised_train,Q2,02a262d5715f8c6e102b5613c03c7d25c7ef1c890c41c470a3195bd82ef88ee9,E182::RBM42::RBM42_2,RBM42,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM45,RBM45_1,10,supervised_train,Q1_low,43331ea39dc6edd5100befb75dc696853e7e8f35e6bb6d0387a9b8f1c3228f4e,E182::RBM45::RBM45_1,RBM45,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM45,RBM45_2,12,supervised_train,Q1_low,43331ea39dc6edd5100befb75dc696853e7e8f35e6bb6d0387a9b8f1c3228f4e,E182::RBM45::RBM45_2,RBM45,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBMS1,RBMS1_1,30,model_validation,Q4_high,5c5defab2da11acafe17d5887b64248ee8bd1ba027d62cfa206b32ce981b2fc3,E182::RBMS1::RBMS1_1,RBMS1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
RBMS1,RBMS1_2,61,model_validation,Q4_high,5c5defab2da11acafe17d5887b64248ee8bd1ba027d62cfa206b32ce981b2fc3,E182::RBMS1::RBMS1_2,RBMS1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
SART3,SART3_1,23,supervised_train,Q3,27a993549c33b80fc1adaf870d87dcef261073776cd577f3835f5b0734a5bf8a,E182::SART3::SART3_1,SART3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SART3,SART3_2,32,supervised_train,Q3,27a993549c33b80fc1adaf870d87dcef261073776cd577f3835f5b0734a5bf8a,E182::SART3::SART3_2,SART3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SERBP1,SERBP1_1,59,prospective_evaluation,Q4_high,d450f8dac202c8f4ac1ca05eddc2cec98237d757fcc6eb18c2f576a0aaf497f2,E182::SERBP1::SERBP1_1,SERBP1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SERBP1,SERBP1_2,33,prospective_evaluation,Q4_high,d450f8dac202c8f4ac1ca05eddc2cec98237d757fcc6eb18c2f576a0aaf497f2,E182::SERBP1::SERBP1_2,SERBP1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SF3B1,SF3B1_1,15,conformal_calibration,Q1_low,a8517962f5da00ed212814b1cce80548de75f2ed0e174241eb27de89f22d18c9,E182::SF3B1::SF3B1_1,SF3B1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SF3B1,SF3B1_2,6,conformal_calibration,Q1_low,a8517962f5da00ed212814b1cce80548de75f2ed0e174241eb27de89f22d18c9,E182::SF3B1::SF3B1_2,SF3B1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SF3B4,SF3B4_1,16,supervised_train,Q3,239c340dba4a7c76344050f81da30c0d352536523ee0763824024d78cc3b3437,E182::SF3B4::SF3B4_1,SF3B4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SF3B4,SF3B4_2,27,supervised_train,Q3,239c340dba4a7c76344050f81da30c0d352536523ee0763824024d78cc3b3437,E182::SF3B4::SF3B4_2,SF3B4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SLTM,SLTM_1,8,prospective_evaluation,Q4_high,f22c0679dbb4470f1a3f3b0da8254690c092a1cca0d6491613a4725211e6318f,E182::SLTM::SLTM_1,SLTM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SLTM,SLTM_2,99,prospective_evaluation,Q4_high,f22c0679dbb4470f1a3f3b0da8254690c092a1cca0d6491613a4725211e6318f,E182::SLTM::SLTM_2,SLTM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SMNDC1,SMNDC1_1,18,supervised_train,Q2,34461385fa43f2f3b16084de17e5ae2a673432bd5c75ae491c7ce0e1e98e21bc,E182::SMNDC1::SMNDC1_1,SMNDC1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SMNDC1,SMNDC1_2,24,supervised_train,Q2,34461385fa43f2f3b16084de17e5ae2a673432bd5c75ae491c7ce0e1e98e21bc,E182::SMNDC1::SMNDC1_2,SMNDC1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SND1,SND1_1,23,conformal_calibration,Q3,89ea0877025f421cc68a96bfd2e749c203b475514134000a3e37110c156a99c4,E182::SND1::SND1_1,SND1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SND1,SND1_2,23,conformal_calibration,Q3,89ea0877025f421cc68a96bfd2e749c203b475514134000a3e37110c156a99c4,E182::SND1::SND1_2,SND1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SRSF1,SRSF1_1,39,supervised_train,Q4_high,273d0a9bf4b1c0563e94c53c75bff9b3fdf0761cd18f63613915075c7cc171fd,E182::SRSF1::SRSF1_1,SRSF1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SRSF1,SRSF1_2,29,supervised_train,Q4_high,273d0a9bf4b1c0563e94c53c75bff9b3fdf0761cd18f63613915075c7cc171fd,E182::SRSF1::SRSF1_2,SRSF1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SRSF7,SRSF7_1,45,prospective_evaluation,Q4_high,d28d625d1e72e196f228d896650c04d47619d2631a3dbd101ad14c2d2983c75e,E182::SRSF7::SRSF7_1,SRSF7,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SRSF7,SRSF7_2,14,prospective_evaluation,Q4_high,d28d625d1e72e196f228d896650c04d47619d2631a3dbd101ad14c2d2983c75e,E182::SRSF7::SRSF7_2,SRSF7,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
SRSF9,SRSF9_1,16,supervised_train,Q2,16a1ef292093035d155b843b0f84c8b10e5d08e9f94ba4165029bfdbaa2d5310,E182::SRSF9::SRSF9_1,SRSF9,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
SRSF9,SRSF9_2,25,supervised_train,Q2,16a1ef292093035d155b843b0f84c8b10e5d08e9f94ba4165029bfdbaa2d5310,E182::SRSF9::SRSF9_2,SRSF9,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
TAF15,TAF15_1,9,supervised_train,Q3,2b9d16d7056438a7a023ca3b60c1ed62da61c26896dbb147bbc394951d0eafb6,E182::TAF15::TAF15_1,TAF15,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
TAF15,TAF15_2,35,supervised_train,Q3,2b9d16d7056438a7a023ca3b60c1ed62da61c26896dbb147bbc394951d0eafb6,E182::TAF15::TAF15_2,TAF15,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
TARDBP,TARDBP_1,15,conformal_calibration,Q3,80960cc216f741cdd2c4dd42fb0a26f8318b154e53395e01b2098c0a772b4ede,E182::TARDBP::TARDBP_1,TARDBP,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TARDBP,TARDBP_2,38,conformal_calibration,Q3,80960cc216f741cdd2c4dd42fb0a26f8318b154e53395e01b2098c0a772b4ede,E182::TARDBP::TARDBP_2,TARDBP,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TBRG4,TBRG4_1,34,prospective_evaluation,Q3,a772b5466cb667e7243228ff2965f78fe00b306b7d2e115f67ed4cd0e1b224d1,E182::TBRG4::TBRG4_1,TBRG4,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TBRG4,TBRG4_2,19,prospective_evaluation,Q3,a772b5466cb667e7243228ff2965f78fe00b306b7d2e115f67ed4cd0e1b224d1,E182::TBRG4::TBRG4_2,TBRG4,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TIA1,TIA1_1,13,conformal_calibration,Q2,7a883b50ee173cdeca78f0667eb1d44af36a2a03299e78cfa5d10d3e97169649,E182::TIA1::TIA1_1,TIA1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TIA1,TIA1_2,23,conformal_calibration,Q2,7a883b50ee173cdeca78f0667eb1d44af36a2a03299e78cfa5d10d3e97169649,E182::TIA1::TIA1_2,TIA1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
TRA2A,TRA2A_1,39,model_validation,Q3,620af7c0835a02bdaa589064670149218a78d992b84f8aa894313f93b6354732,E182::TRA2A::TRA2A_1,TRA2A,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
TRA2A,TRA2A_2,11,model_validation,Q3,620af7c0835a02bdaa589064670149218a78d992b84f8aa894313f93b6354732,E182::TRA2A::TRA2A_2,TRA2A,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
U2AF2,U2AF2_1,17,prospective_evaluation,Q3,ed62584e1b54277a834c9ee4e880ec9976e86aa336f1e0ecf822a88e674399da,E182::U2AF2::U2AF2_1,U2AF2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
U2AF2,U2AF2_2,29,prospective_evaluation,Q3,ed62584e1b54277a834c9ee4e880ec9976e86aa336f1e0ecf822a88e674399da,E182::U2AF2::U2AF2_2,U2AF2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
UCHL5,UCHL5_1,29,supervised_train,Q3,4144cc2e416f426db4ea68b6624ad6b1058308aa90a469905df3329c6460e70e,E182::UCHL5::UCHL5_1,UCHL5,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
UCHL5,UCHL5_2,27,supervised_train,Q3,4144cc2e416f426db4ea68b6624ad6b1058308aa90a469905df3329c6460e70e,E182::UCHL5::UCHL5_2,UCHL5,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
UPF1,UPF1_1,54,conformal_calibration,Q4_high,a01fc12d3287c7bdd991330dd9d65506f651bb914d6cfcdd071955748c1b1d49,E182::UPF1::UPF1_1,UPF1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
UPF1,UPF1_2,26,conformal_calibration,Q4_high,a01fc12d3287c7bdd991330dd9d65506f651bb914d6cfcdd071955748c1b1d49,E182::UPF1::UPF1_2,UPF1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
XRN2,XRN2_1,28,prospective_evaluation,Q4_high,eca61876740823d3c27a88e8f081df02fa8fb75c044f614b48502cbf39a0e369,E182::XRN2::XRN2_1,XRN2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
XRN2,XRN2_2,59,prospective_evaluation,Q4_high,eca61876740823d3c27a88e8f081df02fa8fb75c044f614b48502cbf39a0e369,E182::XRN2::XRN2_2,XRN2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
ZC3H10,ZC3H10_1,14,conformal_calibration,Q2,5fa35654ef5fd03c5b1f73d0156bcc8d62c46f21d2d30a6d7aa8259aa5ff0298,E182::ZC3H10::ZC3H10_1,ZC3H10,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
ZC3H10,ZC3H10_2,22,conformal_calibration,Q2,5fa35654ef5fd03c5b1f73d0156bcc8d62c46f21d2d30a6d7aa8259aa5ff0298,E182::ZC3H10::ZC3H10_2,ZC3H10,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
ZNF622,ZNF622_1,34,supervised_train,Q4_high,3c10a2bcb1c713caa8f5cc1c327fd953a11382dc36726f79f46adc756aac3d2a,E182::ZNF622::ZNF622_1,ZNF622,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
ZNF622,ZNF622_2,46,supervised_train,Q4_high,3c10a2bcb1c713caa8f5cc1c327fd953a11382dc36726f79f46adc756aac3d2a,E182::ZNF622::ZNF622_2,ZNF622,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
ZRANB2,ZRANB2_1,23,conformal_calibration,Q2,b2a6c45fbe4efb0a71f02d4422d75b6da560a9ff657e12bc219d7e64f4e08b59,E182::ZRANB2::ZRANB2_1,ZRANB2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
ZRANB2,ZRANB2_2,15,conformal_calibration,Q2,b2a6c45fbe4efb0a71f02d4422d75b6da560a9ff657e12bc219d7e64f4e08b59,E182::ZRANB2::ZRANB2_2,ZRANB2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
