task_id,training_context,n_perturbed_cells,n_matched_batches,n_available_control_cells
KAT8+ctrl,hepg2,30,25,4976
KPNB1+ctrl,hepg2,46,32,4976
KRI1+ctrl,hepg2,63,34,4976
KRR1+ctrl,hepg2,35,27,4976
LAS1L+ctrl,hepg2,78,42,4976
LETM1+ctrl,hepg2,69,40,4976
LSG1+ctrl,hepg2,82,37,4976
LSM3+ctrl,hepg2,29,19,4976
LSM4+ctrl,hepg2,42,36,4976
LSM5+ctrl,hepg2,86,39,4976
LSM6+ctrl,hepg2,55,33,4976
LSM7+ctrl,hepg2,62,36,4976
MAD2L1+ctrl,hepg2,86,44,4976
MAK16+ctrl,hepg2,37,25,4976
MARS+ctrl,hepg2,42,30,4976
MAX+ctrl,hepg2,43,29,4976
MCM2+ctrl,hepg2,40,31,4976
MCM3+ctrl,hepg2,132,47,4976
MCM3AP+ctrl,hepg2,56,37,4976
MCM4+ctrl,hepg2,21,17,4976
MCM6+ctrl,hepg2,123,47,4976
MED11+ctrl,hepg2,86,36,4976
MED17+ctrl,hepg2,32,23,4976
MED19+ctrl,hepg2,110,47,4976
MED26+ctrl,hepg2,31,25,4976
MED29+ctrl,hepg2,36,24,4976
MED30+ctrl,hepg2,36,29,4976
MED4+ctrl,hepg2,130,47,4976
METAP2+ctrl,hepg2,35,23,4976
MICOS10+ctrl,hepg2,54,36,4976
MIOS+ctrl,hepg2,62,38,4976
MNAT1+ctrl,hepg2,67,36,4976
MPHOSPH10+ctrl,hepg2,79,40,4976
MRGBP+ctrl,hepg2,110,48,4976
MRPL14+ctrl,hepg2,44,29,4976
MRPL17+ctrl,hepg2,27,23,4976
MRPL18+ctrl,hepg2,34,25,4976
MRPL3+ctrl,hepg2,64,33,4976
MRPL36+ctrl,hepg2,397,55,4976
MRPL37+ctrl,hepg2,32,24,4976
MRPL38+ctrl,hepg2,50,37,4976
MRPL41+ctrl,hepg2,50,33,4976
MRPL43+ctrl,hepg2,21,16,4976
MRPL51+ctrl,hepg2,40,28,4976
MRPL54+ctrl,hepg2,48,31,4976
MRPS2+ctrl,hepg2,26,20,4976
MRPS21+ctrl,hepg2,80,40,4976
MRPS23+ctrl,hepg2,39,25,4976
MRPS35+ctrl,hepg2,32,26,4976
MRPS7+ctrl,hepg2,36,25,4976
MRPS9+ctrl,hepg2,30,20,4976
MYBBP1A+ctrl,hepg2,64,39,4976
MYBL2+ctrl,hepg2,129,46,4976
MZT1+ctrl,hepg2,31,25,4976
NAA10+ctrl,hepg2,31,25,4976
NAA20+ctrl,hepg2,37,29,4976
NACA+ctrl,hepg2,44,30,4976
NCBP2+ctrl,hepg2,17,15,4976
NDUFA2+ctrl,hepg2,31,19,4976
NDUFB4+ctrl,hepg2,32,26,4976
NDUFB8+ctrl,hepg2,33,25,4976
NELFA+ctrl,hepg2,43,32,4976
NELFCD+ctrl,hepg2,49,32,4976
NFRKB+ctrl,hepg2,67,37,4976
NFS1+ctrl,hepg2,84,40,4976
NOC3L+ctrl,hepg2,82,38,4976
NOL11+ctrl,hepg2,53,37,4976
NOL12+ctrl,hepg2,63,39,4976
NOL8+ctrl,hepg2,120,50,4976
NRBP1+ctrl,hepg2,45,32,4976
NRDE2+ctrl,hepg2,51,32,4976
NUBP1+ctrl,hepg2,27,21,4976
NUMA1+ctrl,hepg2,30,21,4976
NUP133+ctrl,hepg2,203,54,4976
NUP160+ctrl,hepg2,55,34,4976
NUP54+ctrl,hepg2,34,25,4976
NUP85+ctrl,hepg2,133,52,4976
NUTF2+ctrl,hepg2,80,43,4976
OGFOD1+ctrl,hepg2,55,31,4976
OPA1+ctrl,hepg2,39,26,4976
ORC1+ctrl,hepg2,62,38,4976
PABPN1+ctrl,hepg2,46,33,4976
PAF1+ctrl,hepg2,32,25,4976
PAM16+ctrl,hepg2,56,32,4976
PAXBP1+ctrl,hepg2,77,37,4976
PCID2+ctrl,hepg2,55,32,4976
PDAP1+ctrl,hepg2,33,20,4976
PDCD2+ctrl,hepg2,28,23,4976
PDCD7+ctrl,hepg2,29,18,4976
PDRG1+ctrl,hepg2,49,33,4976
PELP1+ctrl,hepg2,81,42,4976
PET117+ctrl,hepg2,49,37,4976
PFDN2+ctrl,hepg2,44,31,4976
PGD+ctrl,hepg2,30,24,4976
PHAX+ctrl,hepg2,70,39,4976
PHB2+ctrl,hepg2,49,29,4976
PMPCB+ctrl,hepg2,106,49,4976
PNN+ctrl,hepg2,141,52,4976
PNO1+ctrl,hepg2,50,34,4976
POLA1+ctrl,hepg2,57,34,4976
POLA2+ctrl,hepg2,25,20,4976
POLD2+ctrl,hepg2,35,23,4976
POLR2A+ctrl,hepg2,20,16,4976
POLR2D+ctrl,hepg2,67,43,4976
POLR2F+ctrl,hepg2,59,37,4976
POLR2G+ctrl,hepg2,39,25,4976
POLR2H+ctrl,hepg2,36,27,4976
POLR2I+ctrl,hepg2,130,50,4976
POLR3D+ctrl,hepg2,53,33,4976
POLR3E+ctrl,hepg2,49,34,4976
POLR3F+ctrl,hepg2,51,36,4976
POLRMT+ctrl,hepg2,62,35,4976
POP4+ctrl,hepg2,81,40,4976
POP5+ctrl,hepg2,86,39,4976
POP7+ctrl,hepg2,60,37,4976
PPIH+ctrl,hepg2,29,21,4976
PPIL4+ctrl,hepg2,24,20,4976
PPP1R11+ctrl,hepg2,41,28,4976
PPP1R8+ctrl,hepg2,68,41,4976
PPP2R1A+ctrl,hepg2,152,52,4976
PRIM2+ctrl,hepg2,34,25,4976
PRMT1+ctrl,hepg2,23,16,4976
PRMT5+ctrl,hepg2,76,37,4976
PRPF18+ctrl,hepg2,47,31,4976
PRRC2A+ctrl,hepg2,41,29,4976
PSMA2+ctrl,hepg2,26,19,4976
PSMA3+ctrl,hepg2,38,25,4976
PSMA6+ctrl,hepg2,19,18,4976
PSMA7+ctrl,hepg2,25,18,4976
PSMB2+ctrl,hepg2,48,29,4976
PSMB3+ctrl,hepg2,37,27,4976
PSMB6+ctrl,hepg2,33,24,4976
PSMC1+ctrl,hepg2,45,30,4976
PSMC2+ctrl,hepg2,27,18,4976
PSMC4+ctrl,hepg2,47,29,4976
PSMC6+ctrl,hepg2,27,22,4976
PSMD1+ctrl,hepg2,20,15,4976
PSMD11+ctrl,hepg2,24,18,4976
PSMD12+ctrl,hepg2,18,17,4976
PSMD4+ctrl,hepg2,25,16,4976
PSMD6+ctrl,hepg2,26,21,4976
PTCD1+ctrl,hepg2,46,29,4976
QARS+ctrl,hepg2,65,41,4976
RABGGTA+ctrl,hepg2,240,53,4976
RAE1+ctrl,hepg2,43,32,4976
RAN+ctrl,hepg2,56,33,4976
RARS2+ctrl,hepg2,84,40,4976
RBBP4+ctrl,hepg2,39,26,4976
RBM17+ctrl,hepg2,32,25,4976
RBM25+ctrl,hepg2,21,18,4976
RBM28+ctrl,hepg2,72,39,4976
RBM39+ctrl,hepg2,50,32,4976
RBM42+ctrl,hepg2,58,37,4976
RBM48+ctrl,hepg2,51,33,4976
RBM8A+ctrl,hepg2,13,12,4976
RCL1+ctrl,hepg2,102,50,4976
REXO2+ctrl,hepg2,27,17,4976
RFC2+ctrl,hepg2,50,29,4976
RFC4+ctrl,hepg2,35,27,4976
RFC5+ctrl,hepg2,48,31,4976
RINT1+ctrl,hepg2,39,29,4976
RIOK2+ctrl,hepg2,24,22,4976
RMI1+ctrl,hepg2,35,24,4976
RNASEH2C+ctrl,hepg2,123,47,4976
RNF113A+ctrl,hepg2,35,28,4976
RNF20+ctrl,hepg2,25,22,4976
RNMT+ctrl,hepg2,47,30,4976
RNPS1+ctrl,hepg2,20,17,4976
RPA1+ctrl,hepg2,34,25,4976
RPAP1+ctrl,hepg2,53,31,4976
RPAP2+ctrl,hepg2,51,33,4976
RPL10+ctrl,hepg2,69,41,4976
RPL11+ctrl,hepg2,35,24,4976
RPL12+ctrl,hepg2,79,40,4976
RPL14+ctrl,hepg2,57,31,4976
RPL17+ctrl,hepg2,75,42,4976
RPL18+ctrl,hepg2,77,38,4976
RPL19+ctrl,hepg2,25,23,4976
RPL21+ctrl,hepg2,26,21,4976
RPL23A+ctrl,hepg2,66,37,4976
RPL26+ctrl,hepg2,81,40,4976
RPL32+ctrl,hepg2,96,46,4976
RPL34+ctrl,hepg2,42,28,4976
RPL35+ctrl,hepg2,81,42,4976
RPL35A+ctrl,hepg2,178,48,4976
RPL37A+ctrl,hepg2,71,34,4976
RPL38+ctrl,hepg2,36,28,4976
RPL39+ctrl,hepg2,29,23,4976
RPL4+ctrl,hepg2,92,42,4976
RPL5+ctrl,hepg2,44,32,4976
RPL7+ctrl,hepg2,112,46,4976
RPL9+ctrl,hepg2,61,35,4976
RPLP0+ctrl,hepg2,85,40,4976
RPP30+ctrl,hepg2,77,39,4976
RPS10+ctrl,hepg2,41,29,4976
RPS11+ctrl,hepg2,39,26,4976
RPS15+ctrl,hepg2,55,31,4976
RPS15A+ctrl,hepg2,33,25,4976
RPS19BP1+ctrl,hepg2,61,40,4976
RPS2+ctrl,hepg2,82,41,4976
RPS20+ctrl,hepg2,44,27,4976
RPS24+ctrl,hepg2,61,38,4976
RPS27+ctrl,hepg2,91,47,4976
RPS27A+ctrl,hepg2,109,46,4976
RPS28+ctrl,hepg2,31,23,4976
RPS29+ctrl,hepg2,59,34,4976
RPS3+ctrl,hepg2,45,37,4976
RPS3A+ctrl,hepg2,52,32,4976
RPS4X+ctrl,hepg2,47,30,4976
RPS6+ctrl,hepg2,63,40,4976
RPSA+ctrl,hepg2,36,25,4976
RPTOR+ctrl,hepg2,25,20,4976
RRN3+ctrl,hepg2,67,36,4976
RRP1+ctrl,hepg2,23,16,4976
RRP12+ctrl,hepg2,66,39,4976
RRP7A+ctrl,hepg2,67,38,4976
RSL1D1+ctrl,hepg2,116,46,4976
RSL24D1+ctrl,hepg2,37,25,4976
RTF1+ctrl,hepg2,22,16,4976
RUVBL1+ctrl,hepg2,43,30,4976
SAMM50+ctrl,hepg2,25,20,4976
SAP18+ctrl,hepg2,30,23,4976
SARS2+ctrl,hepg2,35,27,4976
SART3+ctrl,hepg2,337,54,4976
SBNO1+ctrl,hepg2,45,29,4976
SCAF1+ctrl,hepg2,79,37,4976
SCFD1+ctrl,hepg2,46,29,4976
SDAD1+ctrl,hepg2,66,39,4976
SDC1+ctrl,hepg2,59,36,4976
SDHC+ctrl,hepg2,34,25,4976
SEC61A1+ctrl,hepg2,80,42,4976
SEC61G+ctrl,hepg2,70,39,4976
SETD1A+ctrl,hepg2,78,38,4976
SETDB1+ctrl,hepg2,62,37,4976
SF1+ctrl,hepg2,27,23,4976
SF3A2+ctrl,hepg2,96,47,4976
SF3B5+ctrl,hepg2,94,45,4976
SFPQ+ctrl,hepg2,52,29,4976
SFSWAP+ctrl,hepg2,25,23,4976
SKA3+ctrl,hepg2,57,33,4976
SLBP+ctrl,hepg2,43,27,4976
SLC39A9+ctrl,hepg2,45,29,4976
SLC7A6OS+ctrl,hepg2,47,32,4976
SLU7+ctrl,hepg2,290,56,4976
SMC1A+ctrl,hepg2,69,36,4976
SMC4+ctrl,hepg2,26,22,4976
SMG5+ctrl,hepg2,153,52,4976
SMN2+ctrl,hepg2,446,56,4976
SNAPC1+ctrl,hepg2,27,21,4976
SNIP1+ctrl,hepg2,34,25,4976
SNRNP200+ctrl,hepg2,92,45,4976
SNRNP70+ctrl,hepg2,57,36,4976
SNRPB+ctrl,hepg2,37,26,4976
SNRPC+ctrl,hepg2,100,45,4976
SNRPD1+ctrl,hepg2,29,21,4976
SNRPD3+ctrl,hepg2,36,24,4976
SNRPF+ctrl,hepg2,28,20,4976
SPCS3+ctrl,hepg2,41,24,4976
SRBD1+ctrl,hepg2,136,49,4976
SRRM1+ctrl,hepg2,35,26,4976
SRRM2+ctrl,hepg2,27,22,4976
SRSF1+ctrl,hepg2,30,24,4976
SRSF7+ctrl,hepg2,52,33,4976
SS18L2+ctrl,hepg2,34,27,4976
SSU72+ctrl,hepg2,178,52,4976
STARD7+ctrl,hepg2,23,22,4976
STRAP+ctrl,hepg2,42,32,4976
SUGP1+ctrl,hepg2,29,21,4976
SUPT16H+ctrl,hepg2,40,30,4976
SUPT5H+ctrl,hepg2,29,24,4976
SUPV3L1+ctrl,hepg2,25,21,4976
SURF6+ctrl,hepg2,63,37,4976
TADA3+ctrl,hepg2,33,27,4976
TAF10+ctrl,hepg2,47,29,4976
TAF1C+ctrl,hepg2,40,27,4976
TAF6+ctrl,hepg2,44,29,4976
TAF7+ctrl,hepg2,44,33,4976
TBCB+ctrl,hepg2,43,30,4976
TCERG1+ctrl,hepg2,33,22,4976
TCOF1+ctrl,hepg2,114,46,4976
TERF2+ctrl,hepg2,72,36,4976
THAP11+ctrl,hepg2,83,42,4976
THOC6+ctrl,hepg2,59,33,4976
THOC7+ctrl,hepg2,201,53,4976
TIMM13+ctrl,hepg2,66,37,4976
TIMM23B+ctrl,hepg2,260,52,4976
TIMM44+ctrl,hepg2,44,29,4976
TIMM9+ctrl,hepg2,31,21,4976
TMX2+ctrl,hepg2,68,33,4976
TOMM22+ctrl,hepg2,66,36,4976
TOP1+ctrl,hepg2,29,21,4976
TPR+ctrl,hepg2,65,38,4976
TPX2+ctrl,hepg2,95,43,4976
TRA2B+ctrl,hepg2,28,23,4976
TRMT112+ctrl,hepg2,60,32,4976
TRMT5+ctrl,hepg2,37,25,4976
TSEN2+ctrl,hepg2,56,32,4976
TSR1+ctrl,hepg2,150,52,4976
TTI1+ctrl,hepg2,37,27,4976
TTK+ctrl,hepg2,72,39,4976
TUBGCP2+ctrl,hepg2,57,33,4976
U2SURP+ctrl,hepg2,52,33,4976
UBA1+ctrl,hepg2,34,26,4976
UBA52+ctrl,hepg2,78,41,4976
UBAP1+ctrl,hepg2,36,24,4976
UBL5+ctrl,hepg2,78,43,4976
UBQLN4+ctrl,hepg2,69,37,4976
UFM1+ctrl,hepg2,32,28,4976
UPF1+ctrl,hepg2,32,23,4976
UPF2+ctrl,hepg2,34,27,4976
UQCC2+ctrl,hepg2,30,20,4976
USP39+ctrl,hepg2,59,35,4976
UTP20+ctrl,hepg2,83,43,4976
UTP23+ctrl,hepg2,88,46,4976
UXT+ctrl,hepg2,42,31,4976
WAC+ctrl,hepg2,24,22,4976
WBP11+ctrl,hepg2,39,26,4976
WDHD1+ctrl,hepg2,55,32,4976
WDR12+ctrl,hepg2,108,49,4976
WDR33+ctrl,hepg2,46,34,4976
XRCC5+ctrl,hepg2,40,26,4976
XRN2+ctrl,hepg2,32,25,4976
YEATS2+ctrl,hepg2,41,29,4976
YTHDC1+ctrl,hepg2,49,32,4976
ZBTB17+ctrl,hepg2,126,49,4976
ZCRB1+ctrl,hepg2,33,25,4976
ZFC3H1+ctrl,hepg2,35,26,4976
ZMAT2+ctrl,hepg2,146,53,4976
ZMAT5+ctrl,hepg2,29,23,4976
ZNF236+ctrl,hepg2,196,52,4976
ZNF574+ctrl,hepg2,62,39,4976
ZNHIT6+ctrl,hepg2,48,35,4976
AAMP+ctrl,jurkat,39,28,12013
AARS+ctrl,jurkat,54,35,12013
ABCE1+ctrl,jurkat,41,27,12013
ABCF1+ctrl,jurkat,93,45,12013
ABT1+ctrl,jurkat,152,51,12013
ACTB+ctrl,jurkat,128,48,12013
ACTR6+ctrl,jurkat,100,46,12013
AHCTF1+ctrl,jurkat,23,18,12013
AKIRIN2+ctrl,jurkat,63,38,12013
ALDOA+ctrl,jurkat,75,44,12013
ALG13+ctrl,jurkat,98,45,12013
AP2S1+ctrl,jurkat,23,19,12013
ARGLU1+ctrl,jurkat,54,35,12013
ARL2+ctrl,jurkat,39,26,12013
ATF4+ctrl,jurkat,41,26,12013
ATP6V0B+ctrl,jurkat,27,21,12013
ATP6V1A+ctrl,jurkat,26,21,12013
ATR+ctrl,jurkat,119,51,12013
ATRIP+ctrl,jurkat,52,37,12013
BDP1+ctrl,jurkat,52,31,12013
BNIP1+ctrl,jurkat,109,47,12013
BRD8+ctrl,jurkat,53,36,12013
BRIX1+ctrl,jurkat,126,49,12013
BUB3+ctrl,jurkat,21,17,12013
BYSL+ctrl,jurkat,100,45,12013
CCDC59+ctrl,jurkat,187,53,12013
CCDC84+ctrl,jurkat,55,35,12013
CCNH+ctrl,jurkat,216,51,12013
CCT4+ctrl,jurkat,46,31,12013
CCT7+ctrl,jurkat,31,25,12013
CD3EAP+ctrl,jurkat,170,49,12013
CDC123+ctrl,jurkat,39,28,12013
CDC5L+ctrl,jurkat,21,20,12013
CDC73+ctrl,jurkat,22,19,12013
CENPK+ctrl,jurkat,27,21,12013
CEP192+ctrl,jurkat,29,24,12013
CHCHD4+ctrl,jurkat,158,49,12013
CHD4+ctrl,jurkat,69,39,12013
CHEK1+ctrl,jurkat,21,20,12013
CHMP1A+ctrl,jurkat,40,28,12013
CHMP2A+ctrl,jurkat,21,18,12013
CINP+ctrl,jurkat,61,35,12013
CLNS1A+ctrl,jurkat,56,33,12013
CLP1+ctrl,jurkat,25,19,12013
CMTR1+ctrl,jurkat,86,44,12013
CNOT2+ctrl,jurkat,151,54,12013
CNOT3+ctrl,jurkat,154,53,12013
COPS2+ctrl,jurkat,55,32,12013
COPS4+ctrl,jurkat,73,43,12013
COX11+ctrl,jurkat,242,54,12013
COX17+ctrl,jurkat,71,38,12013
COX7C+ctrl,jurkat,105,43,12013
CPSF1+ctrl,jurkat,121,48,12013
CPSF3+ctrl,jurkat,337,55,12013
CPSF4+ctrl,jurkat,108,48,12013
CPSF6+ctrl,jurkat,47,34,12013
CSE1L+ctrl,jurkat,36,27,12013
CSNK1A1+ctrl,jurkat,93,49,12013
CSNK2B+ctrl,jurkat,121,49,12013
CSTF3+ctrl,jurkat,49,34,12013
CUL2+ctrl,jurkat,102,42,12013
CWC15+ctrl,jurkat,28,18,12013
CWF19L2+ctrl,jurkat,102,43,12013
CXXC1+ctrl,jurkat,149,49,12013
CYCS+ctrl,jurkat,71,38,12013
DAD1+ctrl,jurkat,72,38,12013
DAP3+ctrl,jurkat,96,45,12013
DARS+ctrl,jurkat,30,26,12013
DDB1+ctrl,jurkat,80,42,12013
DDX10+ctrl,jurkat,124,48,12013
DDX18+ctrl,jurkat,78,40,12013
DDX23+ctrl,jurkat,51,35,12013
DDX46+ctrl,jurkat,113,44,12013
DDX5+ctrl,jurkat,149,52,12013
DDX52+ctrl,jurkat,213,54,12013
DDX55+ctrl,jurkat,385,55,12013
DDX59+ctrl,jurkat,44,31,12013
DENR+ctrl,jurkat,52,33,12013
DHX16+ctrl,jurkat,81,45,12013
DHX33+ctrl,jurkat,113,45,12013
DHX36+ctrl,jurkat,106,46,12013
DHX37+ctrl,jurkat,131,48,12013
DIS3+ctrl,jurkat,49,32,12013
DKC1+ctrl,jurkat,91,40,12013
DLD+ctrl,jurkat,47,31,12013
DMAP1+ctrl,jurkat,33,24,12013
DNAJC17+ctrl,jurkat,79,40,12013
DNAJC8+ctrl,jurkat,124,53,12013
DNM1L+ctrl,jurkat,41,28,12013
DNMT1+ctrl,jurkat,155,51,12013
DNTTIP2+ctrl,jurkat,65,36,12013
DR1+ctrl,jurkat,55,38,12013
DTL+ctrl,jurkat,25,18,12013
DUT+ctrl,jurkat,31,22,12013
DYNC1H1+ctrl,jurkat,15,13,12013
DYNC1I2+ctrl,jurkat,39,28,12013
EBNA1BP2+ctrl,jurkat,36,24,12013
EEF2+ctrl,jurkat,98,47,12013
EIF2B1+ctrl,jurkat,249,53,12013
EIF2B5+ctrl,jurkat,126,48,12013
EIF2S1+ctrl,jurkat,28,21,12013
EIF2S2+ctrl,jurkat,25,22,12013
EIF2S3+ctrl,jurkat,24,19,12013
EIF3B+ctrl,jurkat,124,50,12013
EIF3D+ctrl,jurkat,48,31,12013
EIF3E+ctrl,jurkat,33,24,12013
EIF3I+ctrl,jurkat,61,34,12013
EIF3J+ctrl,jurkat,82,41,12013
EIF3M+ctrl,jurkat,90,41,12013
EIF4E+ctrl,jurkat,53,33,12013
EIF4G2+ctrl,jurkat,109,50,12013
EIF5+ctrl,jurkat,32,29,12013
EIF6+ctrl,jurkat,114,46,12013
ERCC2+ctrl,jurkat,89,46,12013
ESF1+ctrl,jurkat,193,54,12013
ETF1+ctrl,jurkat,40,31,12013
EXOC7+ctrl,jurkat,90,47,12013
EXOSC10+ctrl,jurkat,53,30,12013
EXOSC2+ctrl,jurkat,114,46,12013
EXOSC3+ctrl,jurkat,117,49,12013
EXOSC7+ctrl,jurkat,67,41,12013
FAM136A+ctrl,jurkat,462,55,12013
FAM32A+ctrl,jurkat,27,22,12013
FARSA+ctrl,jurkat,128,49,12013
FBL+ctrl,jurkat,42,32,12013
FTSJ3+ctrl,jurkat,42,30,12013
GARS+ctrl,jurkat,99,45,12013
GFER+ctrl,jurkat,110,45,12013
GFM1+ctrl,jurkat,1353,55,12013
GINS2+ctrl,jurkat,155,47,12013
GINS3+ctrl,jurkat,69,39,12013
GLE1+ctrl,jurkat,27,19,12013
GMPS+ctrl,jurkat,38,31,12013
GNL3+ctrl,jurkat,123,49,12013
GNL3L+ctrl,jurkat,69,37,12013
GPN1+ctrl,jurkat,50,32,12013
GPN2+ctrl,jurkat,53,35,12013
GPN3+ctrl,jurkat,179,54,12013
GRSF1+ctrl,jurkat,96,44,12013
GTF2B+ctrl,jurkat,43,35,12013
GTF2E1+ctrl,jurkat,65,36,12013
GTF2F2+ctrl,jurkat,117,51,12013
HARS2+ctrl,jurkat,27,21,12013
HAUS5+ctrl,jurkat,27,23,12013
HBS1L+ctrl,jurkat,47,31,12013
HEATR1+ctrl,jurkat,77,40,12013
HGS+ctrl,jurkat,29,22,12013
HMGCS1+ctrl,jurkat,126,49,12013
HNRNPH1+ctrl,jurkat,41,28,12013
HNRNPM+ctrl,jurkat,73,41,12013
HSCB+ctrl,jurkat,319,54,12013
HSPA9+ctrl,jurkat,47,34,12013
HSPE1+ctrl,jurkat,149,50,12013
IARS+ctrl,jurkat,55,31,12013
ICE1+ctrl,jurkat,40,31,12013
IGBP1+ctrl,jurkat,68,40,12013
ILF2+ctrl,jurkat,76,42,12013
IMPDH2+ctrl,jurkat,97,42,12013
INO80B+ctrl,jurkat,125,47,12013
INTS3+ctrl,jurkat,87,44,12013
INTS4+ctrl,jurkat,64,36,12013
INTS9+ctrl,jurkat,144,50,12013
IPO9+ctrl,jurkat,137,50,12013
ISG20L2+ctrl,jurkat,79,39,12013
KANSL1+ctrl,jurkat,60,36,12013
KARS+ctrl,jurkat,39,27,12013
KAT8+ctrl,jurkat,94,37,12013
KIF20A+ctrl,jurkat,35,27,12013
KRI1+ctrl,jurkat,165,51,12013
KRR1+ctrl,jurkat,83,43,12013
LAS1L+ctrl,jurkat,150,53,12013
LETM1+ctrl,jurkat,150,49,12013
LSG1+ctrl,jurkat,162,52,12013
LSM3+ctrl,jurkat,116,49,12013
LSM4+ctrl,jurkat,34,27,12013
LSM5+ctrl,jurkat,61,35,12013
LSM6+ctrl,jurkat,50,33,12013
LSM7+ctrl,jurkat,67,38,12013
MAD2L1+ctrl,jurkat,51,32,12013
MAK16+ctrl,jurkat,51,37,12013
MARS+ctrl,jurkat,74,42,12013
MAX+ctrl,jurkat,73,42,12013
MCM2+ctrl,jurkat,111,47,12013
MCM3+ctrl,jurkat,284,53,12013
MCM3AP+ctrl,jurkat,25,21,12013
MCM4+ctrl,jurkat,37,25,12013
MCM6+ctrl,jurkat,324,54,12013
MED10+ctrl,jurkat,41,28,12013
MED11+ctrl,jurkat,93,43,12013
MED17+ctrl,jurkat,31,23,12013
MED19+ctrl,jurkat,257,53,12013
MED22+ctrl,jurkat,57,34,12013
MED26+ctrl,jurkat,82,39,12013
MED28+ctrl,jurkat,34,24,12013
MED29+ctrl,jurkat,38,29,12013
MED30+ctrl,jurkat,92,40,12013
MED4+ctrl,jurkat,194,54,12013
METAP2+ctrl,jurkat,62,40,12013
MICOS10+ctrl,jurkat,135,47,12013
MIOS+ctrl,jurkat,130,48,12013
MNAT1+ctrl,jurkat,141,48,12013
MPHOSPH10+ctrl,jurkat,137,51,12013
MRGBP+ctrl,jurkat,167,52,12013
MRPL13+ctrl,jurkat,50,34,12013
MRPL14+ctrl,jurkat,75,40,12013
MRPL17+ctrl,jurkat,69,39,12013
MRPL18+ctrl,jurkat,63,40,12013
MRPL3+ctrl,jurkat,133,49,12013
MRPL36+ctrl,jurkat,1095,55,12013
MRPL37+ctrl,jurkat,71,42,12013
MRPL38+ctrl,jurkat,122,49,12013
MRPL41+ctrl,jurkat,139,51,12013
MRPL43+ctrl,jurkat,47,32,12013
MRPL51+ctrl,jurkat,36,27,12013
MRPS11+ctrl,jurkat,92,44,12013
MRPS14+ctrl,jurkat,26,22,12013
MRPS2+ctrl,jurkat,51,34,12013
MRPS21+ctrl,jurkat,175,51,12013
MRPS22+ctrl,jurkat,68,43,12013
MRPS23+ctrl,jurkat,65,35,12013
MRPS35+ctrl,jurkat,98,46,12013
MRPS7+ctrl,jurkat,80,40,12013
MRPS9+ctrl,jurkat,107,47,12013
MTBP+ctrl,jurkat,276,54,12013
MYBBP1A+ctrl,jurkat,100,44,12013
MZT1+ctrl,jurkat,21,19,12013
NAA10+ctrl,jurkat,113,47,12013
NAA20+ctrl,jurkat,101,46,12013
NACA+ctrl,jurkat,67,40,12013
NAT10+ctrl,jurkat,32,22,12013
NCBP1+ctrl,jurkat,45,30,12013
NCBP2+ctrl,jurkat,50,32,12013
NDUFA8+ctrl,jurkat,47,28,12013
NDUFB4+ctrl,jurkat,122,49,12013
NDUFB8+ctrl,jurkat,79,41,12013
NELFA+ctrl,jurkat,126,51,12013
NELFCD+ctrl,jurkat,115,46,12013
NFRKB+ctrl,jurkat,168,53,12013
NFS1+ctrl,jurkat,27,24,12013
NOC3L+ctrl,jurkat,172,49,12013
NOL11+ctrl,jurkat,139,52,12013
NOL12+ctrl,jurkat,121,49,12013
NOL8+ctrl,jurkat,193,54,12013
NRBP1+ctrl,jurkat,80,42,12013
NUBP1+ctrl,jurkat,26,20,12013
NUF2+ctrl,jurkat,23,19,12013
NUP133+ctrl,jurkat,30,22,12013
NUP54+ctrl,jurkat,24,20,12013
NUP85+ctrl,jurkat,38,26,12013
OGFOD1+ctrl,jurkat,65,35,12013
ORC1+ctrl,jurkat,37,28,12013
OXA1L+ctrl,jurkat,49,26,12013
PABPN1+ctrl,jurkat,24,19,12013
PAF1+ctrl,jurkat,48,32,12013
PAM16+ctrl,jurkat,68,42,12013
PAXBP1+ctrl,jurkat,117,46,12013
PCID2+ctrl,jurkat,94,46,12013
PDAP1+ctrl,jurkat,64,38,12013
PDCD2+ctrl,jurkat,108,46,12013
PDCD7+ctrl,jurkat,34,25,12013
PDRG1+ctrl,jurkat,32,28,12013
PELP1+ctrl,jurkat,156,50,12013
PET117+ctrl,jurkat,149,49,12013
PFDN2+ctrl,jurkat,50,35,12013
PGAM1+ctrl,jurkat,147,53,12013
PGD+ctrl,jurkat,77,37,12013
PHAX+ctrl,jurkat,142,52,12013
PHB2+ctrl,jurkat,27,24,12013
PMPCB+ctrl,jurkat,242,54,12013
PNN+ctrl,jurkat,71,39,12013
PNO1+ctrl,jurkat,107,44,12013
POLD2+ctrl,jurkat,64,33,12013
POLD3+ctrl,jurkat,74,42,12013
POLR1B+ctrl,jurkat,48,31,12013
POLR2F+ctrl,jurkat,33,23,12013
POLR2I+ctrl,jurkat,82,43,12013
POLR2L+ctrl,jurkat,25,23,12013
POLR3D+ctrl,jurkat,38,30,12013
POLR3E+ctrl,jurkat,76,38,12013
POLR3F+ctrl,jurkat,41,29,12013
POLRMT+ctrl,jurkat,186,53,12013
POP4+ctrl,jurkat,124,48,12013
POP5+ctrl,jurkat,195,52,12013
POP7+ctrl,jurkat,109,46,12013
PPIE+ctrl,jurkat,41,31,12013
PPIH+ctrl,jurkat,72,41,12013
