dataset_name,file_path,file_type,size,modified_time,possible_content,usable_for_confidence_scoring,has_context_field,has_perturbation_field,has_control_treated,can_compute_true_effect,has_multi_context_proxy,suitable_heldout_context_proxy,suitable_pair_split_proxy,has_existing_split,has_prediction_result,obs_columns_preview
GehringPachter2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GehringPachter2019.h5ad,.h5ad,69.9MB,2026-04-17 14:44,genetic_single / RNA / n_obs=20382 / n_vars=13256,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,disease,cancer,tissue_type,celltype,perturbation,perturbation_2,perturbation_3,perturbation_4,dose_unit,dose_unit_2,dose_unit_3,dose_unit_4,organism,perturbation_type,dose_value,dose_value_2,dose_value_3,dose_value_4,nperts,ncounts,ngenes,percent_mito,percent_ribo"
JoungZhang2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_atlas.h5ad,.h5ad,5.4GB,2026-04-17 15:14,enhancer_regulatory / RNA / n_obs=1145823 / n_vars=37528,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,batch,louvain,ncounts,ngenes,percent_mito,disease,cancer,tissue_type,cell_line,celltype,organism,perturbation_type,nperts,percent_ribo"
JoungZhang2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_combinatorial.h5ad,.h5ad,795.4MB,2026-04-17 14:49,enhancer_regulatory / RNA / n_obs=167947 / n_vars=37302,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ngenes,percent_mito,ncounts,batch,TF,louvain,perturbation,disease,cancer,tissue_type,cell_line,celltype,organism,perturbation_type,nperts,percent_ribo"
LaraAstiasoHuntly2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,.h5ad,1.0GB,2026-04-17 14:53,genetic_single / RNA / n_obs=146793 / n_vars=32287,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"time,perturbation,guide_id,sample,cellcycle_phase,Mixscape_classification,celltype,organism,disease,cancer,perturbation_type,tissue_type,tissue,ncounts,ngenes,percent_mito,percent_ribo,nperts"
LaraAstiasoHuntly2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,.h5ad,725.1MB,2026-04-17 14:54,genetic_single / RNA / n_obs=135836 / n_vars=32287,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"time,perturbation,guide_id,sample,cellcycle_phase,Mixscape_classification,celltype,organism,disease,cancer,perturbation_type,tissue_type,tissue,ncounts,ngenes,percent_mito,percent_ribo,nperts"
LaraAstiasoHuntly2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,.h5ad,1.1GB,2026-04-17 14:57,genetic_single / RNA / n_obs=182949 / n_vars=32287,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,guide_id,sample,cellcycle_phase,Mixscape_classification,celltype,organism,disease,cancer,perturbation_type,tissue_type,tissue,ncounts,ngenes,percent_mito,percent_ribo,nperts"
LiangWang2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LiangWang2023.h5ad,.h5ad,347.3MB,2026-04-17 16:06,chemical_single / RNA / n_obs=41383 / n_vars=17444,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,guide_sequence,perturbation,sample,medium,perturbation_type,nperts,organism,tissue_type,disease,celltype,cancer,cell_line,ncounts,ngenes,percent_mito,percent_ribo"
LotfollahiTheis2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LotfollahiTheis2023.h5ad,.h5ad,225.0MB,2026-04-17 16:07,chemical_single / RNA / n_obs=63430 / n_vars=58347,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,Size_Factor,ncounts,RT_well,Well,nperts,perturbation_type,disease,cancer,tissue_type,cell_line,celltype,organism,ngenes,percent_mito,percent_ribo"
McFarlandTsherniak2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/McFarlandTsherniak2020.h5ad,.h5ad,1.4GB,2026-04-17 15:42,genetic_single / RNA / n_obs=182875 / n_vars=32738,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"DepMap_ID,cancer,cell_det_rate,cell_line,cell_quality,channel,disease,dose_unit,dose_value,doublet_CL1,doublet_CL2,doublet_GMM_prob,doublet_dev_imp,doublet_z_margin,hash_assignment,hash_tag,num_SNPs,organism,percent.mito,perturbation,perturbation_type,sex,singlet_ID,singlet_dev,singlet_dev_z,singlet"
NadigOConner2024,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_hepg2.h5ad,.h5ad,811.2MB,2026-04-17 15:41,genetic_combinatorial / RNA / n_obs=145473 / n_vars=9624,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,gene_id,transcript,gene_transcript,guide_id,percent_mito,UMI_count,z_gemgroup_UMI,disease,cancer,cell_line,organism,perturbation_type,tissue_type,perturbation,ncounts,ngenes,nperts,percent_ribo"
NadigOConner2024,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_jurkat.h5ad,.h5ad,1.2GB,2026-04-17 15:42,genetic_combinatorial / RNA / n_obs=262956 / n_vars=8882,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,gene_id,transcript,gene_transcript,guide_id,percent_mito,UMI_count,z_gemgroup_UMI,disease,cancer,cell_line,organism,perturbation_type,tissue_type,perturbation,ncounts,ngenes,nperts,percent_ribo"
NormanWeissman2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NormanWeissman2019_filtered.h5ad,.h5ad,666.3MB,2026-04-17 15:40,genetic_combinatorial / RNA / n_obs=111445 / n_vars=33694,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,read_count,UMI_count,coverage,gemgroup,good_coverage,number_of_cells,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,perturbation,nperts,ngenes,ncounts,percent_mito,percent_ribo"
PapalexiSatija2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_RNA.h5ad,.h5ad,140.4MB,2026-04-17 15:00,genetic_single / multimodal / n_obs=20729 / n_vars=18649,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"hto,guide_id,hto_barcode,gdo_barcode,perturbation,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,nperts,ngenes,ncounts,percent_mito,percent_ribo"
PapalexiSatija2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_RNA.h5ad,.h5ad,49.9MB,2026-04-17 14:55,genetic_single / multimodal / n_obs=8984 / n_vars=16826,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,hto,guide_id,hto_barcode,gdo_barcode,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,nperts,ngenes,ncounts,percent_mito,percent_ribo"
PapalexiSatija2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_protein.h5ad,.h5ad,538.0KB,2026-04-17 14:55,genetic_single / protein / n_obs=8984 / n_vars=4,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,hto,guide_id,hto_barcode,gdo_barcode,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,nperts,ngenes,ncounts,percent_mito,percent_ribo"
PapalexiSatija2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_protein.h5ad,.h5ad,1.1MB,2026-04-17 14:56,genetic_single / protein / n_obs=20729 / n_vars=4,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"hto,guide_id,hto_barcode,gdo_barcode,perturbation,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,nperts,ngenes,ncounts,percent_mito,percent_ribo"
ReplogleWeissman2022,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_essential.h5ad,.h5ad,1.4GB,2026-04-17 15:04,genetic_combinatorial / RNA / n_obs=310385 / n_vars=8563,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,gene_id,transcript,gene_transcript,guide_id,percent_mito,UMI_count,z_gemgroup_UMI,core_scale_factor,core_adjusted_UMI_count,disease,cancer,cell_line,sex,age,perturbation,organism,perturbation_type,tissue_type,ncounts,ngenes,nperts,percent_ribo"
ReplogleWeissman2022,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_gwps.h5ad,.h5ad,8.2GB,2026-04-17 15:34,genetic_combinatorial / RNA / n_obs=1989578 / n_vars=8248,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,gene_id,transcript,gene_transcript,guide_id,percent_mito,UMI_count,z_gemgroup_UMI,core_scale_factor,core_adjusted_UMI_count,disease,cancer,cell_line,sex,age,perturbation,organism,perturbation_type,tissue_type,ncounts,ngenes,nperts,percent_ribo"
ReplogleWeissman2022,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_rpe1.h5ad,.h5ad,1.2GB,2026-04-17 15:07,genetic_combinatorial / RNA / n_obs=247914 / n_vars=8749,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,gene_id,transcript,gene_transcript,guide_id,percent_mito,UMI_count,z_gemgroup_UMI,core_scale_factor,core_adjusted_UMI_count,disease,cancer,cell_line,sex,age,perturbation,organism,perturbation_type,tissue_type,ncounts,ngenes,nperts,percent_ribo,celltype"
SantinhaPlatt2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SantinhaPlatt2023.h5ad,.h5ad,895.8MB,2026-04-17 15:09,chemical_single / RNA / n_obs=100134 / n_vars=30556,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"lane,ncounts,ngenes,cell_name,cell_types,cell_types_broad,cell_types_neuro,gRNA_read_count,gRNA_umi_count,perturbation,guide_id,organism,disease,cancer,perturbation_type,tissue_type,tissue,nperts,percent_mito,percent_ribo"
SchiebingerLander2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE106340.h5ad,.h5ad,361.3MB,2026-04-17 15:10,genetic_combinatorial / RNA / n_obs=68339 / n_vars=27998,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"GSM,perturbation,age,ncounts,ngenes,organism,percent_mito,percent_ribo,tissue_type,cancer,disease,perturbation_type,celltype,nperts"
SchiebingerLander2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE115943.h5ad,.h5ad,1.5GB,2026-04-17 15:20,genetic_combinatorial / RNA / n_obs=259155 / n_vars=27998,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"age,replicate,perturbation,GSM,cancer,organism,disease,tissue_type,perturbation_type,celltype,ncounts,ngenes,percent_mito,percent_ribo,nperts"
SchraivogelSteinmetz2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad,.h5ad,20.8MB,2026-04-17 15:11,genetic_combinatorial / RNA / n_obs=120310 / n_vars=3185,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"replicate,tissue_type,cell_line,cancer,disease,celltype,organism,perturbation,perturbation_type,ncounts,ngenes,percent_mito,percent_ribo,nperts"
SchraivogelSteinmetz2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad,.h5ad,20.0MB,2026-04-17 15:11,genetic_combinatorial / RNA / n_obs=112260 / n_vars=4191,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"replicate,tissue_type,cell_line,cancer,disease,celltype,organism,perturbation,perturbation_type,ncounts,ngenes,percent_mito,percent_ribo,nperts"
ShifrutMarson2018,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ShifrutMarson2018.h5ad,.h5ad,831.1MB,2026-04-17 15:16,genetic_single / RNA / n_obs=52236 / n_vars=33694,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,patient,guide_id,guide_counts,target,perturbation,perturbation_2,disease,cancer,tissue_type,organism,perturbation_type,perturbation_type_2,nperts,celltype,ncounts,ngenes,percent_mito,percent_ribo"
SrivatsanTrapnell2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,.h5ad,138.5MB,2026-04-17 15:16,chemical_single / RNA / n_obs=24262 / n_vars=58347,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,hash_umis,pval_demultiplexing,qval_demultiplexing,top_to_second_best_ratio,top_oligo,perturbation,dose_value,well,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID"
SrivatsanTrapnell2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex3.h5ad,.h5ad,2.4GB,2026-04-17 15:30,chemical_combinatorial / RNA / n_obs=799317 / n_vars=110983,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,well,plate,cell_line,replicate,time,dose_value,pathway_level_1,pathway_level_2,perturbation,target,pathway,dose_unit,celltype,disease,cancer,tissue_type,organism,perturbation_type"
SrivatsanTrapnell2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,.h5ad,241.6MB,2026-04-17 15:18,chemical_single / RNA / n_obs=98437 / n_vars=58347,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"hash_UMI_counts,dose_value,perturbation,dose_value_2,perturbation_2,cell_line,plate_id,well_id,celltype,cancer,disease,tissue_type,organism,perturbation_type,perturbation_type_2,nperts,ncounts,ngenes,percent_mito,percent_ribo,chembl-ID"
SunshineHein2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SunshineHein2023.h5ad,.h5ad,709.2MB,2026-04-17 15:23,chemical_combinatorial / RNA / n_obs=90380 / n_vars=33538,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,nperts,read_count,UMI_count,coverage,gem_group,good_coverage,number_of_cells,matched_library_element,match_type,perturbation,perturbation_type,disease,cancer,tissue_type,cell_line,celltype,organism,ncounts,ngenes,percent_mito,percent_ribo"
TianKampmann2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_day7neuron.h5ad,.h5ad,256.5MB,2026-04-17 15:22,genetic_single / RNA / n_obs=182790 / n_vars=33752,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,cancer,celltype,disease,guide_id,organism,perturbation,perturbation_type,sgRNA_read_count,sgRNA_umi_count,tissue_type,nperts,ngenes,ncounts,percent_mito,percent_ribo,percent_hemo"
TianKampmann2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_iPSC.h5ad,.h5ad,334.6MB,2026-04-17 15:24,genetic_single / RNA / n_obs=275708 / n_vars=33752,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,sgRNA_read_count,sgRNA_umi_count,perturbation,tissue_type,celltype,cancer,disease,perturbation_type,organism,batch,nperts,ngenes,ncounts,percent_mito,percent_ribo"
TianKampmann2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRa.h5ad,.h5ad,147.6MB,2026-04-17 15:24,genetic_single / RNA / n_obs=21193 / n_vars=33538,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,perturbation,tissue_type,celltype,cancer,disease,perturbation_type,organism,batch,nperts,ngenes,ncounts,percent_mito,percent_ribo,percent_hemo"
TianKampmann2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRi.h5ad,.h5ad,276.0MB,2026-04-17 15:26,genetic_single / RNA / n_obs=32300 / n_vars=33538,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"guide_id,perturbation,tissue_type,celltype,cancer,disease,perturbation_type,organism,batch,nperts,ngenes,ncounts,percent_mito,percent_ribo,percent_hemo"
WeinrebKlein2020,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WeinrebKlein2020.h5ad,.h5ad,217.9MB,2026-04-17 15:26,genetic_single / RNA / n_obs=65075 / n_vars=25289,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"library_names,age,celltype,perturbation,cancer,organism,disease,tissue_type,perturbation_type,ncounts,ngenes,percent_mito,percent_ribo,nperts"
WesselsSatija2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WesselsSatija2023.h5ad,.h5ad,209.2MB,2026-04-17 15:28,genetic_combinatorial / multimodal / n_obs=30707 / n_vars=21052,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,ngenes,percent_mito,Cell_cycle_phase,ncounts_HTO,HTO,ncounts_ADT,10X_lane,guides,nCount_GUIDE,CRISPRcas13_Array,perturbation,Guide.Class,UMI.g1,UMI.g2,ID.g1,ID.g2,fraction.g1.over.all,fraction.g1.over.g2,g1.by.g2,nperts,perturbation_type,disease,cancer,tissue_type,cell_line,celltype,organism"
XieHon2017,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XieHon2017.h5ad,.h5ad,111.9MB,2026-04-17 15:28,enhancer_regulatory / RNA / n_obs=13283 / n_vars=26539,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"disease,cancer,sex,age,tissue_type,cell_line,organism,perturbation_type,sample,batch,target,guide_id,perturbation,nperts,replicate,filename,ncounts,ngenes,percent_mito,percent_ribo"
XuCao2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XuCao2023.h5ad,.h5ad,321.0MB,2026-04-17 15:30,chemical_single / RNA / n_obs=98315 / n_vars=59429,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,ncounts,nascent_UMI_counts,nascent_ratio,guide_id,gRNA_UMI_counts,nascent_MT_ratio,Cell_cycle_phase,whole_exon_ratio,new_exon_ratio,target,perturbation_type,disease,cancer,tissue_type,cell_line,celltype,organism,nperts,ngenes,percent_mito,percent_ribo"
ZhaoSims2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ZhaoSims2021.h5ad,.h5ad,559.7MB,2026-04-17 15:31,genetic_single / RNA / n_obs=165748 / n_vars=60725,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,GEO,Sample,tissue,age,sex,location,diagnosis,library,dose_value,dose_unit,perturbation,tissue_type,cancer,disease,celltype,organism,perturbation_type,ncounts,ngenes,percent_mito,percent_ribo,nperts,chembl-ID"
