gene,n_study_families,n_dataset_records,study_families
RNMT,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RNPS1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPA1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPAP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPAP2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL10,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL11,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL12,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL14,5,8,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
RPL17,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL18,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL19,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL21,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL23A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL26,2,5,NadigOConner2024|ReplogleWeissman2022
RPL32,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL34,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL35,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL35A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL37A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL38,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL39,2,5,NadigOConner2024|ReplogleWeissman2022
RPL4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPL9,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
RPLP0,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPLP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPP30,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPP38,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS10,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS11,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS15,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS15A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS19BP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS20,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS24,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS27,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS27A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS28,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS29,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS3A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS4X,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RPS6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RPSA,5,9,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
RPTOR,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RRN3,2,5,NadigOConner2024|ReplogleWeissman2022
RRP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RRP12,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RRP7A,2,5,NadigOConner2024|ReplogleWeissman2022
RSL1D1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RSL24D1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RTF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RUVBL1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SAMM50,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
SAP18,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SARS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SART3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SBNO1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SCAF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SCFD1,5,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
SDAD1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SDC1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SDE2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SDHC,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SEC61A1,4,9,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
SEC61G,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
SETD1A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SETDB1,4,10,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
SF3A2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SF3B5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SFPQ,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SFSWAP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SKA3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SLBP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SLC39A9,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SLC7A6OS,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SLU7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SMC1A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SMC3,4,9,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
SMC4,4,10,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
SMG5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SMN2,2,5,NadigOConner2024|ReplogleWeissman2022
SMU1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SNAPC1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SNIP1,2,5,NadigOConner2024|ReplogleWeissman2022
SNRNP200,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRNP70,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRPB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRPC,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRPD1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRPD3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SNRPF,4,9,FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
SNW1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SPC24,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SPCS3,4,8,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
SRBD1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SRRM1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SRRM2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SRSF1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SRSF10,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SRSF7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SS18L2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SSBP1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SSU72,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
STARD7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
STRAP,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SUGP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SUPT16H,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SUPT5H,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
SUPV3L1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
SURF6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TADA3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TAF10,2,5,NadigOConner2024|ReplogleWeissman2022
TAF1C,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TAF6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TAF7,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TBCB,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TBL3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TCERG1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TCOF1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TELO2,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
TERF2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
THAP11,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
THOC6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
THOC7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TIMM13,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TIMM23B,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TIMM44,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
TIMM9,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TMX2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TOMM22,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TOP1,5,8,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
TPR,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TPX2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
TRA2B,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TREX2,2,4,NadigOConner2024|ReplogleWeissman2022
TRMT10C,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TRMT112,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TRMT5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TSEN2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TSG101,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TSR1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TTI1,4,8,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
TTK,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TUBGCP2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
TXNL4A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
U2AF1,2,5,NadigOConner2024|ReplogleWeissman2022
U2SURP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UBA1,4,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianKampmann2019
UBA3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
UBA52,4,9,FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
UBAP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UBL5,4,9,FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
UBQLN4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UFM1,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
UPF1,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
UPF2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
UQCC2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UQCRB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
UQCRFS1,5,9,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
UQCRQ,4,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianKampmann2019
USP36,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
USP39,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
USPL1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UTP20,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UTP23,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
UXT,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
VPS54,5,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
WAC,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
WBP11,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
WDHD1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
WDR12,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
WDR24,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
WDR33,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
WDR61,2,5,NadigOConner2024|ReplogleWeissman2022
WDR82,4,9,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
WDTC1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
XRCC5,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
XRN2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
YEATS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
YTHDC1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZBTB17,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZC3H18,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ZCRB1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZFC3H1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZMAT2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZMAT5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ZNF236,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
ZNF574,3,9,NadigOConner2024|Replogle|ReplogleWeissman2022
ZNHIT6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
